#separator:tab
#html:true
Text	Extra	Tags
She avoids {{c1::eating}} late at night.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
They decided {{c1::to leave}} the meeting early.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
He managed {{c1::to finish}} the report before noon.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
We promised {{c1::to call}} the client tomorrow.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
She refused {{c1::to sign}} the document without review.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
He stopped {{c1::using}} sugar in his coffee.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
I remember {{c1::sending}} that email yesterday.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
They suggested {{c1::reviewing}} the plan again.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
We hope {{c1::to solve}} the issue today.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
She offered {{c1::to help}} with the migration.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
He admitted {{c1::making}} the mistake.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
I said that she {{c1::was}} already there.	Backshift in reported speech.	english_grammar level_3 reported_speech cloze
She said that she {{c1::was}} already there.	Backshift in reported speech.	english_grammar level_3 reported_speech cloze
They said that she {{c1::was}} already there.	Backshift in reported speech.	english_grammar level_3 reported_speech cloze
He said that she {{c1::was}} already there.	Backshift in reported speech.	english_grammar level_3 reported_speech cloze
The manager said that she {{c1::was}} already there.	Backshift in reported speech.	english_grammar level_3 reported_speech cloze
Please carry {{c1::on}} with the work.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
She turned {{c1::down}} the offer politely.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
We are looking {{c1::for}} the missing file.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
They set {{c1::up}} the new account yesterday.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
I ran {{c1::into}} an old colleague downtown.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
He gave {{c1::up}} smoking last year.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
The policy brought {{c1::about}} several changes.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
We worked {{c1::through}} the problem together.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
Can you fill {{c1::out}} this form?	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
The meeting was called {{c1::off}} because of snow.	Choose the particle that completes the phrasal verb.	english_grammar level_3 phrasal_verb_grammar cloze
We are {{c1::submitting}} the form this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::building}} the prototype this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::preparing}} the report this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::analysing}} the data this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::explaining}} the rule this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::reviewing}} the plan this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::updating}} the message this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::practising}} the skill this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::submitting}} the form this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::building}} the prototype this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::preparing}} the report this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::analysing}} the data this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::explaining}} the rule this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::reviewing}} the plan this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::updating}} the message this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::practising}} the skill this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::submitting}} the form this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::building}} the prototype this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::preparing}} the report this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::analysing}} the data this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::explaining}} the rule this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::reviewing}} the plan this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
We are {{c1::updating}} the message this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 reported_speech cloze
You are {{c1::practising}} the skill this quarter.	Use a correct auxiliary/verb form in context.	english_grammar level_3 passive_voice cloze
If she had studied, {{c1::she would now be accepted}}.	Use had + past participle with could/would have.	english_grammar level_4 mixed_conditionals cloze
If he had worked, {{c1::he would have arrived}}.	Use had + past participle with could/would have.	english_grammar level_4 mixed_conditionals cloze
If we had left, {{c1::we would be ahead}}.	Use had + past participle with could/would have.	english_grammar level_4 mixed_conditionals cloze
If I had known, {{c1::I would have told you}}.	Use had + past participle with could/would have.	english_grammar level_4 mixed_conditionals cloze
If they had practiced, {{c1::they would be confident}}.	Use had + past participle with could/would have.	english_grammar level_4 mixed_conditionals cloze
Never {{c1::have}} I seen this report before.	Inversion form.	english_grammar level_4 inversion cloze
Rarely {{c1::do}} they understand this report before.	Inversion form.	english_grammar level_4 inversion cloze
Not until {{c1::did}} we finish this report before.	Inversion form.	english_grammar level_4 inversion cloze
Only after {{c1::had}} she realized this report before.	Inversion form.	english_grammar level_4 inversion cloze
Never {{c1::have}} we forgotten this report before.	Inversion form.	english_grammar level_4 inversion cloze
Seldom {{c1::did}} I misjudge this report before.	Inversion form.	english_grammar level_4 inversion cloze
She {{c1::might}} have missed the deadline.	Modal + perfect form.	english_grammar level_4 advanced_modals cloze
They {{c1::could}} have finished the deadline.	Modal + perfect form.	english_grammar level_4 advanced_modals cloze
He {{c1::should}} have called the deadline.	Modal + perfect form.	english_grammar level_4 advanced_modals cloze
We {{c1::must}} have forgotten the deadline.	Modal + perfect form.	english_grammar level_4 advanced_modals cloze
You {{c1::may}} have received the deadline.	Modal + perfect form.	english_grammar level_4 advanced_modals cloze
It {{c1::might}} have changed the deadline.	Modal + perfect form.	english_grammar level_4 advanced_modals cloze
Having prepared {{c1::the draft}}, they submitted the report.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having prepared {{c1::the draft}}, we moved to the next task.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having prepared {{c1::the draft}}, she avoided mistakes.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having prepared {{c1::the draft}}, the team approved it.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having prepared {{c1::the draft}}, the manager spoke clearly.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Knowing {{c1::the procedure}}, they submitted the report.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Knowing {{c1::the procedure}}, we moved to the next task.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Knowing {{c1::the procedure}}, she avoided mistakes.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Knowing {{c1::the procedure}}, the team approved it.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Knowing {{c1::the procedure}}, the manager spoke clearly.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Being {{c1::prepared}}, they submitted the report.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Being {{c1::prepared}}, we moved to the next task.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Being {{c1::prepared}}, she avoided mistakes.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Being {{c1::prepared}}, the team approved it.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Being {{c1::prepared}}, the manager spoke clearly.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having discussed {{c1::the issue}}, they submitted the report.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having discussed {{c1::the issue}}, we moved to the next task.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having discussed {{c1::the issue}}, she avoided mistakes.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having discussed {{c1::the issue}}, the team approved it.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Having discussed {{c1::the issue}}, the manager spoke clearly.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Working {{c1::with precision}}, they submitted the report.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Working {{c1::with precision}}, we moved to the next task.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Working {{c1::with precision}}, she avoided mistakes.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Working {{c1::with precision}}, the team approved it.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
Working {{c1::with precision}}, the manager spoke clearly.	Use reduced participle clause.	english_grammar level_4 participle_clauses cloze
I know {{c1::what she said}}.	Use a complete noun-clause expression.	english_grammar level_4 noun_clauses cloze
We discussed {{c1::whether they agreed}}.	Use a complete noun-clause expression.	english_grammar level_4 noun_clauses cloze
The report shows {{c1::why the system failed}}.	Use a complete noun-clause expression.	english_grammar level_4 noun_clauses cloze
I wonder {{c1::if the team understands}}.	Use a complete noun-clause expression.	english_grammar level_4 noun_clauses cloze
She explained {{c1::how the script worked}}.	Use a complete noun-clause expression.	english_grammar level_4 noun_clauses cloze
We asked {{c1::where the test data came from}}.	Use a complete noun-clause expression.	english_grammar level_4 noun_clauses cloze
They confirmed {{c1::what the team needed}}.	Use a complete noun-clause expression.	english_grammar level_4 noun_clauses cloze
It was {{c1::the analyst}} who found the bug first.	Use emphasis for focus and contrast.	english_grammar level_4 emphasis_structures cloze
What the team needed most was {{c1::stable input}}.	Use emphasis for focus and contrast.	english_grammar level_4 emphasis_structures cloze
It was {{c1::during the planning meeting}} that we set the deadline.	Use emphasis for focus and contrast.	english_grammar level_4 emphasis_structures cloze
What they wanted most was {{c1::a clear timeline}}.	Use emphasis for focus and contrast.	english_grammar level_4 emphasis_structures cloze
It was {{c1::your report}} that convinced the committee.	Use emphasis for focus and contrast.	english_grammar level_4 emphasis_structures cloze
What the client asked for was {{c1::a quick fix}}.	Use emphasis for focus and contrast.	english_grammar level_4 emphasis_structures cloze
{{c1::Having completed the security review}}, the team signed off on production access.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
{{c1::Having fixed the regression bug}}, the release passed smoke testing.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
{{c1::Having secured stakeholder approval}}, the team started the rollout.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
{{c1::Having reviewed the client notes}}, we revised the final draft.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
{{c1::Having collected user feedback}}, the roadmap changed immediately.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
{{c1::Having updated the schedule}}, the launch date shifted by one week.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
{{c1::Having closed the budget gap}}, the vendor accepted the contract.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
{{c1::Having validated the migration}}, we moved traffic to the new cluster.	Use a reduced relative/adverbial clause.	english_grammar level_4 reduced_relative_clauses cloze
The prototype looked stable, {{c1::however}}, the deployment still crashed under peak load.	Use however as a logical connector.	english_grammar level_5 sentence_connectors cloze
The report was complete, {{c1::however}}, two risks remained unresolved.	Use however as a logical connector.	english_grammar level_5 sentence_connectors cloze
The API is now faster, {{c1::moreover}}, error responses are clearer.	Use moreover as a logical connector.	english_grammar level_5 sentence_connectors cloze
The app supports two languages, {{c1::moreover}}, accessibility updates were added.	Use moreover as a logical connector.	english_grammar level_5 sentence_connectors cloze
The schedule was tight, {{c1::nevertheless}}, the quality bar did not drop.	Use nevertheless as a logical connector.	english_grammar level_5 sentence_connectors cloze
The sprint started late, {{c1::nevertheless}}, we met every milestone.	Use nevertheless as a logical connector.	english_grammar level_5 sentence_connectors cloze
The security scan found no issues, {{c1::therefore}}, we approved the release.	Use therefore as a logical connector.	english_grammar level_5 sentence_connectors cloze
The team repeated the regression tests, {{c1::therefore}}, the defect rate improved.	Use therefore as a logical connector.	english_grammar level_5 sentence_connectors cloze
{{c1::Although}} the budget was reduced, the team delivered all milestones.	Use although as a logical connector.	english_grammar level_5 sentence_connectors cloze
