SourceID	Order	SourceDeck	SourceCard	English	EnglishMeaning	EnglishExample	CueSource	TurkishCue	Status
4000 Essential English Words::Extra::2_50::underpants	3650	4000 Essential English Words::Extra	2_50	underpants			underpants	külot	draft_google_word
4000 Essential English Words::Extra::2_51::undershirt	3651	4000 Essential English Words::Extra	2_51	undershirt			undershirt	fanila	draft_google_word
4000 Essential English Words::Extra::2_52::vest	3652	4000 Essential English Words::Extra	2_52	vest			vest	yelek	draft_google_word
4000 Essential English Words::Extra::2_53::rainboots	3653	4000 Essential English Words::Extra	2_53	rainboots			rainboots	yağmur çizmeleri	draft_google_word
4000 Essential English Words::Extra::2_54::raincoat	3654	4000 Essential English Words::Extra	2_54	raincoat			raincoat	yağmurluk	draft_google_word
4000 Essential English Words::Extra::3_1::basketball	3655	4000 Essential English Words::Extra	3_1	basketball			basketball	basketbol	draft_google_word
4000 Essential English Words::Extra::3_2::boxing	3656	4000 Essential English Words::Extra	3_2	boxing			boxing	boks	draft_google_word
4000 Essential English Words::Extra::3_3::wrestling	3657	4000 Essential English Words::Extra	3_3	wrestling			wrestling	güreş	draft_google_word
4000 Essential English Words::Extra::3_4::yoga	3658	4000 Essential English Words::Extra	3_4	yoga			yoga	yoga	draft_google_word
4000 Essential English Words::Extra::3_5::archery	3659	4000 Essential English Words::Extra	3_5	archery			archery	okçuluk	draft_google_word
4000 Essential English Words::Extra::3_6::baseball	3660	4000 Essential English Words::Extra	3_6	baseball			baseball	beyzbol	draft_google_word
4000 Essential English Words::Extra::3_7::soccer	3661	4000 Essential English Words::Extra	3_7	soccer			soccer	futbol	draft_google_word
4000 Essential English Words::Extra::3_8::tennis	3662	4000 Essential English Words::Extra	3_8	tennis			tennis	tenis	draft_google_word
4000 Essential English Words::Extra::3_9::volleyball	3663	4000 Essential English Words::Extra	3_9	volleyball			volleyball	voleybol	draft_google_word
4000 Essential English Words::Extra::3_10::skiing	3664	4000 Essential English Words::Extra	3_10	skiing			skiing	kayak yapmak	draft_google_word
4000 Essential English Words::Extra::3_11::snowboarding	3665	4000 Essential English Words::Extra	3_11	snowboarding			snowboarding	snowboard yapmak	draft_google_word
4000 Essential English Words::Extra::3_12::camel	3666	4000 Essential English Words::Extra	3_12	camel			camel	deve	draft_google_word
4000 Essential English Words::Extra::3_13::coyote	3667	4000 Essential English Words::Extra	3_13	coyote			coyote	çakal	draft_google_word
4000 Essential English Words::Extra::3_14::lizard	3668	4000 Essential English Words::Extra	3_14	lizard			lizard	kertenkele	draft_google_word
4000 Essential English Words::Extra::3_15::mountain lion	3669	4000 Essential English Words::Extra	3_15	mountain lion			mountain lion	dağ aslanı	draft_google_word
4000 Essential English Words::Extra::3_16::scorpion	3670	4000 Essential English Words::Extra	3_16	scorpion			scorpion	akrep	draft_google_word
4000 Essential English Words::Extra::3_17::flamingo	3671	4000 Essential English Words::Extra	3_17	flamingo			flamingo	flamingo	draft_google_word
4000 Essential English Words::Extra::3_18::hummingbird	3672	4000 Essential English Words::Extra	3_18	hummingbird			hummingbird	sinek kuşu	draft_google_word
4000 Essential English Words::Extra::3_19::panther	3673	4000 Essential English Words::Extra	3_19	panther			panther	panter	draft_google_word
4000 Essential English Words::Extra::3_20::parrot	3674	4000 Essential English Words::Extra	3_20	parrot			parrot	papağan	draft_google_word
4000 Essential English Words::Extra::3_21::giraffe	3675	4000 Essential English Words::Extra	3_21	giraffe			giraffe	zürafa	draft_google_word
4000 Essential English Words::Extra::3_22::hippopotamus	3676	4000 Essential English Words::Extra	3_22	hippopotamus			hippopotamus	su aygırı	draft_google_word
4000 Essential English Words::Extra::3_23::hyena	3677	4000 Essential English Words::Extra	3_23	hyena			hyena	sırtlan	draft_google_word
4000 Essential English Words::Extra::3_24::ostrich	3678	4000 Essential English Words::Extra	3_24	ostrich			ostrich	devekuşu	draft_google_word
4000 Essential English Words::Extra::3_25::rhinoceros	3679	4000 Essential English Words::Extra	3_25	rhinoceros			rhinoceros	gergedan	draft_google_word
4000 Essential English Words::Extra::3_26::otter	3680	4000 Essential English Words::Extra	3_26	otter			otter	su samuru	draft_google_word
4000 Essential English Words::Extra::3_27::penguin	3681	4000 Essential English Words::Extra	3_27	penguin			penguin	penguen	draft_google_word
4000 Essential English Words::Extra::3_28::polar bear	3682	4000 Essential English Words::Extra	3_28	polar bear			polar bear	kutup ayısı	draft_google_word
4000 Essential English Words::Extra::3_29::reindeer	3683	4000 Essential English Words::Extra	3_29	reindeer			reindeer	ren geyiği	draft_google_word
4000 Essential English Words::Extra::3_30::seal	3684	4000 Essential English Words::Extra	3_30	seal			seal	fok	draft_google_word
4000 Essential English Words::Extra::3_31::wolf	3685	4000 Essential English Words::Extra	3_31	wolf			wolf	kurt	draft_google_word
4000 Essential English Words::Extra::3_32::blowfish	3686	4000 Essential English Words::Extra	3_32	blowfish			blowfish	balon balığı	draft_google_word
4000 Essential English Words::Extra::3_33::octopus	3687	4000 Essential English Words::Extra	3_33	octopus			octopus	ahtapot	draft_google_word
4000 Essential English Words::Extra::3_34::sea urchin	3688	4000 Essential English Words::Extra	3_34	sea urchin			sea urchin	deniz kestanesi	draft_google_word
4000 Essential English Words::Extra::3_35::seagull	3689	4000 Essential English Words::Extra	3_35	seagull			seagull	martı	draft_google_word
4000 Essential English Words::Extra::3_36::shark	3690	4000 Essential English Words::Extra	3_36	shark			shark	köpekbalığı	draft_google_word
4000 Essential English Words::Extra::3_37::squid	3691	4000 Essential English Words::Extra	3_37	squid			squid	kalamar	draft_google_word
4000 Essential English Words::Extra::3_38::starfish	3692	4000 Essential English Words::Extra	3_38	starfish			starfish	denizyıldızı	draft_google_word
4000 Essential English Words::Extra::3_39::whale	3693	4000 Essential English Words::Extra	3_39	whale			whale	balina	draft_google_word
4000 Essential English Words::Extra::3_40::beaver	3694	4000 Essential English Words::Extra	3_40	beaver			beaver	kunduz	draft_google_word
4000 Essential English Words::Extra::3_41::bobcat	3695	4000 Essential English Words::Extra	3_41	bobcat			bobcat	vaşak	draft_google_word
4000 Essential English Words::Extra::3_42::mole	3696	4000 Essential English Words::Extra	3_42	mole			mole	köstebek	draft_google_word
4000 Essential English Words::Extra::3_43::opossum	3697	4000 Essential English Words::Extra	3_43	opossum			opossum	keseli sıçan	draft_google_word
4000 Essential English Words::Extra::3_44::porcupine	3698	4000 Essential English Words::Extra	3_44	porcupine			porcupine	kirpi	draft_google_word
4000 Essential English Words::Extra::3_45::robin	3699	4000 Essential English Words::Extra	3_45	robin			robin	ardıç kuşu	draft_google_word
4000 Essential English Words::Extra::3_46::skunk	3700	4000 Essential English Words::Extra	3_46	skunk			skunk	kokarca	draft_google_word
4000 Essential English Words::Extra::3_47::squirrel	3701	4000 Essential English Words::Extra	3_47	squirrel			squirrel	sincap	draft_google_word
4000 Essential English Words::Extra::3_48::woodpecker	3702	4000 Essential English Words::Extra	3_48	woodpecker			woodpecker	ağaçkakan	draft_google_word
4000 Essential English Words::Extra::3_49::butterfly	3703	4000 Essential English Words::Extra	3_49	butterfly			butterfly	kelebek	draft_google_word
4000 Essential English Words::Extra::3_50::dragonfly	3704	4000 Essential English Words::Extra	3_50	dragonfly			dragonfly	yusufçuk	draft_google_word
4000 Essential English Words::Extra::3_51::caterpillar	3705	4000 Essential English Words::Extra	3_51	caterpillar			caterpillar	tırtıl	draft_google_word
4000 Essential English Words::Extra::3_52::cricket	3706	4000 Essential English Words::Extra	3_52	cricket			cricket	cırcır böceği	draft_google_word
4000 Essential English Words::Extra::3_53::firefly	3707	4000 Essential English Words::Extra	3_53	firefly			firefly	ateş böceği	draft_google_word
4000 Essential English Words::Extra::3_54::grasshopper	3708	4000 Essential English Words::Extra	3_54	grasshopper			grasshopper	çekirge	draft_google_word
4000 Essential English Words::Extra::3_55::ladybug	3709	4000 Essential English Words::Extra	3_55	ladybug			ladybug	uğur böceği	draft_google_word
4000 Essential English Words::Extra::3_56::mosquito	3710	4000 Essential English Words::Extra	3_56	mosquito			mosquito	sivrisinek	draft_google_word
4000 Essential English Words::Extra::3_57::moth	3711	4000 Essential English Words::Extra	3_57	moth			moth	güve	draft_google_word
4000 Essential English Words::Extra::3_58::apple pie	3712	4000 Essential English Words::Extra	3_58	apple pie			apple pie	elmalı turta	draft_google_word
4000 Essential English Words::Extra::3_59::cereal	3713	4000 Essential English Words::Extra	3_59	cereal			cereal	tahıl	draft_google_word
4000 Essential English Words::Extra::3_60::hamburger	3714	4000 Essential English Words::Extra	3_60	hamburger			hamburger	hamburger	draft_google_word
4000 Essential English Words::Extra::3_61::salad	3715	4000 Essential English Words::Extra	3_61	salad			salad	salata	draft_google_word
4000 Essential English Words::Extra::3_62::sandwich	3716	4000 Essential English Words::Extra	3_62	sandwich			sandwich	sandviç	draft_google_word
4000 Essential English Words::Extra::3_63::taco	3717	4000 Essential English Words::Extra	3_63	taco			taco	tako	draft_google_word
4000 Essential English Words::Extra::3_64::avocado	3718	4000 Essential English Words::Extra	3_64	avocado			avocado	avokado	draft_google_word
4000 Essential English Words::Extra::3_65::cherry	3719	4000 Essential English Words::Extra	3_65	cherry			cherry	kiraz	draft_google_word
4000 Essential English Words::Extra::3_66::coconut	3720	4000 Essential English Words::Extra	3_66	coconut			coconut	hindistan cevizi	draft_google_word
4000 Essential English Words::Extra::3_67::fig	3721	4000 Essential English Words::Extra	3_67	fig			fig	incir	draft_google_word
4000 Essential English Words::Extra::3_68::grapefruit	3722	4000 Essential English Words::Extra	3_68	grapefruit			grapefruit	greyfurt	draft_google_word
4000 Essential English Words::Extra::3_69::peach	3723	4000 Essential English Words::Extra	3_69	peach			peach	şeftali	draft_google_word
4000 Essential English Words::Extra::3_70::pear	3724	4000 Essential English Words::Extra	3_70	pear			pear	armut	draft_google_word
4000 Essential English Words::Extra::3_71::pineapple	3725	4000 Essential English Words::Extra	3_71	pineapple			pineapple	ananas	draft_google_word
4000 Essential English Words::Extra::3_72::pomegranate	3726	4000 Essential English Words::Extra	3_72	pomegranate			pomegranate	nar	draft_google_word
4000 Essential English Words::Extra::3_73::almond	3727	4000 Essential English Words::Extra	3_73	almond			almond	badem	draft_google_word
4000 Essential English Words::Extra::3_74::chestnut	3728	4000 Essential English Words::Extra	3_74	chestnut			chestnut	kestane	draft_google_word
4000 Essential English Words::Extra::3_75::peanut	3729	4000 Essential English Words::Extra	3_75	peanut			peanut	yer fıstığı	draft_google_word
4000 Essential English Words::Extra::3_76::pecan	3730	4000 Essential English Words::Extra	3_76	pecan			pecan	pekan cevizi	draft_google_word
4000 Essential English Words::Extra::3_77::pistachio	3731	4000 Essential English Words::Extra	3_77	pistachio			pistachio	antep fıstığı	draft_google_word
4000 Essential English Words::Extra::3_78::walnut	3732	4000 Essential English Words::Extra	3_78	walnut			walnut	ceviz	draft_google_word
4000 Essential English Words::Extra::3_79::bacon	3733	4000 Essential English Words::Extra	3_79	bacon			bacon	pastırma	draft_google_word
4000 Essential English Words::Extra::3_80::beef	3734	4000 Essential English Words::Extra	3_80	beef			beef	sığır eti	draft_google_word
4000 Essential English Words::Extra::3_81::chicken	3735	4000 Essential English Words::Extra	3_81	chicken			chicken	tavuk	draft_google_word
4000 Essential English Words::Extra::3_82::crab	3736	4000 Essential English Words::Extra	3_82	crab			crab	yengeç	draft_google_word
4000 Essential English Words::Extra::3_83::lobster	3737	4000 Essential English Words::Extra	3_83	lobster			lobster	ıstakoz	draft_google_word
4000 Essential English Words::Extra::3_84::oyster	3738	4000 Essential English Words::Extra	3_84	oyster			oyster	istiridye	draft_google_word
4000 Essential English Words::Extra::3_85::pork	3739	4000 Essential English Words::Extra	3_85	pork			pork	domuz eti	draft_google_word
4000 Essential English Words::Extra::3_86::salmon	3740	4000 Essential English Words::Extra	3_86	salmon			salmon	somon	draft_google_word
4000 Essential English Words::Extra::3_87::sausage	3741	4000 Essential English Words::Extra	3_87	sausage			sausage	sosis	draft_google_word
4000 Essential English Words::Extra::3_88::shrimp	3742	4000 Essential English Words::Extra	3_88	shrimp			shrimp	karides	draft_google_word
4000 Essential English Words::Extra::3_89::broccoli	3743	4000 Essential English Words::Extra	3_89	broccoli			broccoli	brokoli	draft_google_word
4000 Essential English Words::Extra::3_90::cabbage	3744	4000 Essential English Words::Extra	3_90	cabbage			cabbage	lahana	draft_google_word
4000 Essential English Words::Extra::3_91::carrot	3745	4000 Essential English Words::Extra	3_91	carrot			carrot	havuç	draft_google_word
4000 Essential English Words::Extra::3_92::celery	3746	4000 Essential English Words::Extra	3_92	celery			celery	kereviz	draft_google_word
4000 Essential English Words::Extra::3_93::cucumber	3747	4000 Essential English Words::Extra	3_93	cucumber			cucumber	salatalık	draft_google_word
4000 Essential English Words::Extra::3_94::garlic	3748	4000 Essential English Words::Extra	3_94	garlic			garlic	sarımsak	draft_google_word
4000 Essential English Words::Extra::3_95::onion	3749	4000 Essential English Words::Extra	3_95	onion			onion	soğan	draft_google_word
4000 Essential English Words::Extra::3_96::potato	3750	4000 Essential English Words::Extra	3_96	potato			potato	patates	draft_google_word
4000 Essential English Words::Extra::3_97::pumpkin	3751	4000 Essential English Words::Extra	3_97	pumpkin			pumpkin	kabak	draft_google_word
4000 Essential English Words::Extra::3_98::carnation	3752	4000 Essential English Words::Extra	3_98	carnation			carnation	karanfil	draft_google_word
4000 Essential English Words::Extra::3_99::chrysanthemum	3753	4000 Essential English Words::Extra	3_99	chrysanthemum			chrysanthemum	krizantem	draft_google_word
4000 Essential English Words::Extra::3_100::daisy	3754	4000 Essential English Words::Extra	3_100	daisy			daisy	papatya	draft_google_word
4000 Essential English Words::Extra::3_101::lily	3755	4000 Essential English Words::Extra	3_101	lily			lily	zambak	draft_google_word
4000 Essential English Words::Extra::3_102::lotus	3756	4000 Essential English Words::Extra	3_102	lotus			lotus	nilüfer	draft_google_word
4000 Essential English Words::Extra::3_103::marigold	3757	4000 Essential English Words::Extra	3_103	marigold			marigold	kadife çiçeği	draft_google_word
4000 Essential English Words::Extra::3_104::pansy	3758	4000 Essential English Words::Extra	3_104	pansy			pansy	hercai menekşe	draft_google_word
4000 Essential English Words::Extra::3_105::rose	3759	4000 Essential English Words::Extra	3_105	rose			rose	gül	draft_google_word
4000 Essential English Words::Extra::3_106::sunflower	3760	4000 Essential English Words::Extra	3_106	sunflower			sunflower	ayçiçeği	draft_google_word
4000 Essential English Words::Extra::3_107::tulip	3761	4000 Essential English Words::Extra	3_107	tulip			tulip	lale	draft_google_word
4000 Essential English Words::Extra::3_108::bamboo	3762	4000 Essential English Words::Extra	3_108	bamboo			bamboo	bambu	draft_google_word
4000 Essential English Words::Extra::3_109::palm tree	3763	4000 Essential English Words::Extra	3_109	palm tree			palm tree	palmiye ağacı	draft_google_word
4000 Essential English Words::Extra::3_110::maple tree	3764	4000 Essential English Words::Extra	3_110	maple tree			maple tree	akçaağaç	draft_google_word
4000 Essential English Words::Extra::3_111::pine tree	3765	4000 Essential English Words::Extra	3_111	pine tree			pine tree	çam ağacı	draft_google_word
4000 Essential English Words::Extra::3_112::willow tree	3766	4000 Essential English Words::Extra	3_112	willow tree			willow tree	söğüt ağacı	draft_google_word
4000 Essential English Words::Extra::3_113::birch	3767	4000 Essential English Words::Extra	3_113	birch			birch	huş ağacı	draft_google_word
4000 Essential English Words::Extra::3_114::martial arts	3768	4000 Essential English Words::Extra	3_114	martial arts			martial arts	dövüş sanatları	draft_google_word
4000 Essential English Words::Extra::3_115::ping-pong	3769	4000 Essential English Words::Extra	3_115	ping-pong			ping-pong	pinpon	draft_google_word
4000 Essential English Words::Extra::3_116::football	3770	4000 Essential English Words::Extra	3_116	football			football	amerikan futbolu	draft_google_word
4000 Essential English Words::Extra::3_117::vulture	3771	4000 Essential English Words::Extra	3_117	vulture			vulture	akbaba	draft_google_word
4000 Essential English Words::Extra::3_118::alligator, crocodile	3772	4000 Essential English Words::Extra	3_118	alligator, crocodile			alligator, crocodile	timsah, timsah	draft_google_word
4000 Essential English Words::Extra::3_119::gorilla	3773	4000 Essential English Words::Extra	3_119	gorilla			gorilla	goril	draft_google_word
4000 Essential English Words::Extra::3_120::buffalo	3774	4000 Essential English Words::Extra	3_120	buffalo			buffalo	manda	draft_google_word
4000 Essential English Words::Extra::3_121::jellyfish	3775	4000 Essential English Words::Extra	3_121	jellyfish			jellyfish	denizanası	draft_google_word
4000 Essential English Words::Extra::3_122::sea horse	3776	4000 Essential English Words::Extra	3_122	sea horse			sea horse	deniz atı	draft_google_word
4000 Essential English Words::Extra::3_123::deer	3777	4000 Essential English Words::Extra	3_123	deer			deer	geyik	draft_google_word
4000 Essential English Words::Extra::3_124::beetle	3778	4000 Essential English Words::Extra	3_124	beetle			beetle	böcek	draft_google_word
4000 Essential English Words::Extra::3_125::fish and chips	3779	4000 Essential English Words::Extra	3_125	fish and chips			fish and chips	balık ve cips	draft_google_word
4000 Essential English Words::Extra::3_126::french fries	3780	4000 Essential English Words::Extra	3_126	french fries			french fries	patates kızartması	draft_google_word
4000 Essential English Words::Extra::3_127::hot dog	3781	4000 Essential English Words::Extra	3_127	hot dog			hot dog	sosisli sandviç	draft_google_word
4000 Essential English Words::Extra::3_128::ice cream cone	3782	4000 Essential English Words::Extra	3_128	ice cream cone			ice cream cone	dondurma konisi	draft_google_word
4000 Essential English Words::Extra::3_129::apricot	3783	4000 Essential English Words::Extra	3_129	apricot			apricot	kayısı	draft_google_word
4000 Essential English Words::Extra::3_130::hazel nut	3784	4000 Essential English Words::Extra	3_130	hazel nut			hazel nut	fındık	draft_google_word
4000 Essential English Words::Extra::3_131::pine nuts	3785	4000 Essential English Words::Extra	3_131	pine nuts			pine nuts	çam fıstığı	draft_google_word
4000 Essential English Words::Extra::3_132::eggplant	3786	4000 Essential English Words::Extra	3_132	eggplant			eggplant	patlıcan	draft_google_word
4000 Essential English Words::Extra::3_133::oak tree	3787	4000 Essential English Words::Extra	3_133	oak tree			oak tree	meşe ağacı	draft_google_word
4000 Essential English Words::Extra::3_134::ice skating	3788	4000 Essential English Words::Extra	3_134	ice skating			ice skating	buz pateni	draft_google_word
4000 Essential English Words::Extra::1_1_1::hair	3789	4000 Essential English Words::Extra	1_1_1	hair			hair	saç	draft_google_word
4000 Essential English Words::Extra::1_1_2::temple	3790	4000 Essential English Words::Extra	1_1_2	temple			temple	şakak	draft_google_word
4000 Essential English Words::Extra::1_1_3::ear	3791	4000 Essential English Words::Extra	1_1_3	ear			ear	kulak	draft_google_word
4000 Essential English Words::Extra::1_1_4::nose	3792	4000 Essential English Words::Extra	1_1_4	nose			nose	burun	draft_google_word
4000 Essential English Words::Extra::1_1_5::lip	3793	4000 Essential English Words::Extra	1_1_5	lip			lip	dudak	draft_google_word
4000 Essential English Words::Extra::1_1_6::mouth	3794	4000 Essential English Words::Extra	1_1_6	mouth			mouth	ağız	draft_google_word
4000 Essential English Words::Extra::1_1_7::chin	3795	4000 Essential English Words::Extra	1_1_7	chin			chin	çene	draft_google_word
4000 Essential English Words::Extra::1_1_8::tongue	3796	4000 Essential English Words::Extra	1_1_8	tongue			tongue	dil	draft_google_word
4000 Essential English Words::Extra::1_1_9::tooth	3797	4000 Essential English Words::Extra	1_1_9	tooth			tooth	diş	draft_google_word
4000 Essential English Words::Extra::1_1_10::jaw	3798	4000 Essential English Words::Extra	1_1_10	jaw			jaw	çene	draft_google_word
4000 Essential English Words::Extra::1_1_11::nostril	3799	4000 Essential English Words::Extra	1_1_11	nostril			nostril	burun deliği	draft_google_word
4000 Essential English Words::Extra::1_1_12::cheek	3800	4000 Essential English Words::Extra	1_1_12	cheek			cheek	yanak	draft_google_word
4000 Essential English Words::Extra::1_1_13::eyelash	3801	4000 Essential English Words::Extra	1_1_13	eyelash			eyelash	kirpik	draft_google_word
4000 Essential English Words::Extra::1_1_14::eyelid	3802	4000 Essential English Words::Extra	1_1_14	eyelid			eyelid	göz kapağı	draft_google_word
4000 Essential English Words::Extra::1_1_15::eyebrow	3803	4000 Essential English Words::Extra	1_1_15	eyebrow			eyebrow	kaş	draft_google_word
4000 Essential English Words::Extra::1_1_16::forehead	3804	4000 Essential English Words::Extra	1_1_16	forehead			forehead	alın	draft_google_word
4000 Essential English Words::Extra::1_1_17::head	3805	4000 Essential English Words::Extra	1_1_17	head			head	kafa	draft_google_word
4000 Essential English Words::Extra::1_1_18::brain	3806	4000 Essential English Words::Extra	1_1_18	brain			brain	beyin	draft_google_word
4000 Essential English Words::Extra::1_1_19::heart	3807	4000 Essential English Words::Extra	1_1_19	heart			heart	kalp	draft_google_word
4000 Essential English Words::Extra::1_1_20::lung	3808	4000 Essential English Words::Extra	1_1_20	lung			lung	akciğer	draft_google_word
4000 Essential English Words::Extra::1_1_21::liver	3809	4000 Essential English Words::Extra	1_1_21	liver			liver	karaciğer	draft_google_word
4000 Essential English Words::Extra::1_1_22::stomach	3810	4000 Essential English Words::Extra	1_1_22	stomach			stomach	mide	draft_google_word
4000 Essential English Words::Extra::1_1_23::kidney	3811	4000 Essential English Words::Extra	1_1_23	kidney			kidney	böbrek	draft_google_word
4000 Essential English Words::Extra::1_1_24::neck	3812	4000 Essential English Words::Extra	1_1_24	neck			neck	boyun	draft_google_word
4000 Essential English Words::Extra::1_1_25::chest	3813	4000 Essential English Words::Extra	1_1_25	chest			chest	göğüs	draft_google_word
4000 Essential English Words::Extra::1_1_26::hand	3814	4000 Essential English Words::Extra	1_1_26	hand			hand	el	draft_google_word
4000 Essential English Words::Extra::1_1_27::thigh	3815	4000 Essential English Words::Extra	1_1_27	thigh			thigh	uyluk	draft_google_word
