#separator:tab
#html:true
SourceID	Level	Topic	CardType	CardTypeLabel	Front	Answer	Explanation	Examples	CommonMistake	SelfGrade	Tags
a0_survival::adjective_agreement::choose	a0_survival	adjective agreement	choose	Choose	Choose: la casa ___<br>A) rojo<br>B) roja	B) la casa roja	casa is feminine, so rojo becomes roja.	- el libro rojo<br>- la casa roja<br>- los libros rojos	Do not keep the masculine adjective for every noun.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival adjective_agreement choose
a0_survival::adjective_agreement::correction	a0_survival	adjective agreement	correction	Correction	Correct this Spanish: las casas rojo	las casas rojas	Feminine plural noun needs feminine plural adjective.	- el libro rojo<br>- la casa roja<br>- los libros rojos	Do not keep the masculine adjective for every noun.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival adjective_agreement correction
a0_survival::adjective_agreement::production	a0_survival	adjective agreement	production	Production	Write in Spanish: the red books	los libros rojos	libros is masculine plural, so rojos.	- el libro rojo<br>- la casa roja<br>- los libros rojos	Do not keep the masculine adjective for every noun.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival adjective_agreement production
a0_survival::adjective_agreement::pattern	a0_survival	adjective agreement	pattern	Mini pattern	Mini pattern: noun + color	article + noun + color	This is a reusable sentence chunk. Practice swapping one word at a time.	- el coche blanco<br>- la puerta blanca<br>- los coches blancos	Do not keep the masculine adjective for every noun.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival adjective_agreement pattern
a0_survival::subject_pronouns::rule	a0_survival	subject pronouns	rule	Rule	Rule: subject pronouns	<b>Formula</b><br>yo, tú, él/ella/usted, nosotros/nosotras, vosotros/vosotras, ellos/ellas/ustedes<br><br><b>Use</b><br>Spanish verb endings often show the subject, so pronouns are often optional.	Memorize the pattern first; the other cards in this topic make you use it.	- yo hablo<br>- tú estudias<br>- ella trabaja	usted means you formal but uses third-person verb forms.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival subject_pronouns rule
a0_survival::subject_pronouns::choose	a0_survival	subject pronouns	choose	Choose	Choose the informal 'you':<br>A) tú<br>B) usted	A) tú	tú is informal singular you.	- yo hablo<br>- tú estudias<br>- ella trabaja	usted means you formal but uses third-person verb forms.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival subject_pronouns choose
a0_survival::subject_pronouns::correction	a0_survival	subject pronouns	correction	Correction	Correct this Spanish: usted hablas	usted habla	usted uses third-person singular verb forms.	- yo hablo<br>- tú estudias<br>- ella trabaja	usted means you formal but uses third-person verb forms.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival subject_pronouns correction
a0_survival::subject_pronouns::production	a0_survival	subject pronouns	production	Production	Write in Spanish: she	ella	ella is the subject pronoun for she.	- yo hablo<br>- tú estudias<br>- ella trabaja	usted means you formal but uses third-person verb forms.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival subject_pronouns production
a0_survival::subject_pronouns::pattern	a0_survival	subject pronouns	pattern	Mini pattern	Mini pattern: optional subject	(yo) hablo; (tú) estudias	This is a reusable sentence chunk. Practice swapping one word at a time.	- Yo hablo.<br>- Hablo.<br>- Ella trabaja.	usted means you formal but uses third-person verb forms.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival subject_pronouns pattern
a0_survival::ser_basics::rule	a0_survival	ser basics	rule	Rule	Rule: ser basics	<b>Formula</b><br>yo soy; tú eres; él/ella/usted es<br><br><b>Use</b><br>Use ser for identity, origin, profession, and basic description.	Memorize the pattern first; the other cards in this topic make you use it.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.	Do not use es with yo.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival ser_basics rule
a0_survival::ser_basics::choose	a0_survival	ser basics	choose	Choose	Choose: I am a student.<br>A) Soy estudiante.<br>B) Es estudiante.	A) Soy estudiante.	yo uses soy.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.	Do not use es with yo.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival ser_basics choose
a0_survival::ser_basics::correction	a0_survival	ser basics	correction	Correction	Correct this Spanish: Yo es profesor.	Yo soy profesor.	The yo form of ser is soy.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.	Do not use es with yo.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival ser_basics correction
a0_survival::ser_basics::production	a0_survival	ser basics	production	Production	Write in Spanish: I am Ana.	Soy Ana.	Subject pronoun yo can be omitted.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.	Do not use es with yo.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival ser_basics production
a0_survival::ser_basics::pattern	a0_survival	ser basics	pattern	Mini pattern	Mini pattern: ser + identity	soy/eres/es + noun/adjective	This is a reusable sentence chunk. Practice swapping one word at a time.	- Soy estudiante.<br>- Eres Carlos.<br>- Es importante.	Do not use es with yo.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival ser_basics pattern
a0_survival::negation::rule	a0_survival	negation	rule	Rule	Rule: negation	<b>Formula</b><br>no + verb<br><br><b>Use</b><br>Put no before the conjugated verb to make a sentence negative.	Memorize the pattern first; the other cards in this topic make you use it.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.	Do not put no after the verb as in English short answers.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival negation rule
a0_survival::negation::choose	a0_survival	negation	choose	Choose	Choose: I am not a teacher.<br>A) No soy profesor.<br>B) Soy no profesor.	A) No soy profesor.	Spanish negation goes before the verb.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.	Do not put no after the verb as in English short answers.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival negation choose
a0_survival::negation::correction	a0_survival	negation	correction	Correction	Correct this Spanish: Soy no estudiante.	No soy estudiante.	Put no before soy.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.	Do not put no after the verb as in English short answers.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival negation correction
a0_survival::negation::production	a0_survival	negation	production	Production	Write in Spanish: I do not study.	No estudio.	Use no before the verb.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.	Do not put no after the verb as in English short answers.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival negation production
a0_survival::negation::pattern	a0_survival	negation	pattern	Mini pattern	Mini pattern: negative sentence	no + conjugated verb	This is a reusable sentence chunk. Practice swapping one word at a time.	- No hablo.<br>- No estudio.<br>- No es caro.	Do not put no after the verb as in English short answers.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival negation pattern
a0_survival::yes_no_questions::rule	a0_survival	yes-no questions	rule	Rule	Rule: yes-no questions	<b>Formula</b><br>¿ + statement order + ?<br><br><b>Use</b><br>Spanish yes-no questions can keep statement word order; intonation and punctuation mark the question.	Memorize the pattern first; the other cards in this topic make you use it.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?	Use the opening question mark in formal writing.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival yes_no_questions rule
a0_survival::yes_no_questions::choose	a0_survival	yes-no questions	choose	Choose	Choose the question:<br>A) ¿Hablas español?<br>B) Hablas español.	A) ¿Hablas español?	Question marks signal a written question.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?	Use the opening question mark in formal writing.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival yes_no_questions choose
a0_survival::yes_no_questions::correction	a0_survival	yes-no questions	correction	Correction	Correct this Spanish: Hablas español?	¿Hablas español?	Spanish uses opening and closing question marks.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?	Use the opening question mark in formal writing.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival yes_no_questions correction
a0_survival::yes_no_questions::production	a0_survival	yes-no questions	production	Production	Write in Spanish: Do you speak Spanish?	¿Hablas español?	Statement order can become a question with punctuation/intonation.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?	Use the opening question mark in formal writing.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival yes_no_questions production
a0_survival::yes_no_questions::pattern	a0_survival	yes-no questions	pattern	Mini pattern	Mini pattern: question from statement	¿statement?	This is a reusable sentence chunk. Practice swapping one word at a time.	- ¿Estudias?<br>- ¿Trabajas?<br>- ¿Eres Ana?	Use the opening question mark in formal writing.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival yes_no_questions pattern
a1_1_foundations::ser_vs_estar::rule	a1_1_foundations	ser vs estar	rule	Rule	Rule: ser vs estar	<b>Formula</b><br>ser = identity/essential description; estar = location/state<br><br><b>Use</b><br>Choose ser for what something is and estar for where/how it is.	Memorize the pattern first; the other cards in this topic make you use it.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.	Temporary feelings usually use estar: estoy cansado.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a1_1_foundations ser_vs_estar rule
a1_1_foundations::ser_vs_estar::choose	a1_1_foundations	ser vs estar	choose	Choose	Choose: I am tired.<br>A) Soy cansado.<br>B) Estoy cansado.	B) Estoy cansado.	Tired is a state, so use estar.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.	Temporary feelings usually use estar: estoy cansado.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a1_1_foundations ser_vs_estar choose
a1_1_foundations::ser_vs_estar::correction	a1_1_foundations	ser vs estar	correction	Correction	Correct this Spanish: Madrid está la capital de España.	Madrid es la capital de España.	Identity/role uses ser.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.	Temporary feelings usually use estar: estoy cansado.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a1_1_foundations ser_vs_estar correction
a1_1_foundations::ser_vs_estar::production	a1_1_foundations	ser vs estar	production	Production	Write in Spanish: I am at home.	Estoy en casa.	Location uses estar.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.	Temporary feelings usually use estar: estoy cansado.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a1_1_foundations ser_vs_estar production
a1_1_foundations::ser_vs_estar::pattern	a1_1_foundations	ser vs estar	pattern	Mini pattern	Mini pattern: ser/estar contrast	ser + identity; estar + place/state	This is a reusable sentence chunk. Practice swapping one word at a time.	- Es médico.<br>- Está aquí.<br>- Estoy bien.	Temporary feelings usually use estar: estoy cansado.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a1_1_foundations ser_vs_estar pattern
a1_1_foundations::regular__ar_present::rule	a1_1_foundations	regular -ar present	rule	Rule	Rule: regular -ar present	<b>Formula</b><br>hablar: hablo, hablas, habla, hablamos, hablan<br><br><b>Use</b><br>Use regular -ar endings for present habits and current facts.	Memorize the pattern first; the other cards in this topic make you use it.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.	The yo form ends in -o, not -a.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a1_1_foundations regular__ar_present rule
a1_1_foundations::regular__ar_present::choose	a1_1_foundations	regular -ar present	choose	Choose	Choose: I speak Spanish.<br>A) Hablo español.<br>B) Habla español.	A) Hablo español.	yo form of hablar is hablo.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.	The yo form ends in -o, not -a.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a1_1_foundations regular__ar_present choose
a1_1_foundations::regular__ar_present::correction	a1_1_foundations	regular -ar present	correction	Correction	Correct this Spanish: Yo habla español.	Yo hablo español.	The yo ending is -o.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.	The yo form ends in -o, not -a.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a1_1_foundations regular__ar_present correction
a1_1_foundations::regular__ar_present::production	a1_1_foundations	regular -ar present	production	Production	Write in Spanish: We study at night.	Estudiamos por la noche.	The nosotros form of estudiar is estudiamos.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.	The yo form ends in -o, not -a.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a1_1_foundations regular__ar_present production
a1_1_foundations::regular__ar_present::pattern	a1_1_foundations	regular -ar present	pattern	Mini pattern	Mini pattern: -ar present	stem + o/as/a/amos/an	This is a reusable sentence chunk. Practice swapping one word at a time.	- hablo<br>- hablas<br>- hablamos	The yo form ends in -o, not -a.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a1_1_foundations regular__ar_present pattern
a1_1_foundations::regular__er_and__ir_present::rule	a1_1_foundations	regular -er and -ir present	rule	Rule	Rule: regular -er and -ir present	<b>Formula</b><br>comer: como, comes, come; vivir: vivo, vives, vive<br><br><b>Use</b><br>Use -er and -ir present endings for regular present-tense verbs.	Memorize the pattern first; the other cards in this topic make you use it.	- Como arroz.<br>- Vivo en Madrid.<br>- Ella escribe mucho.	-er and -ir are mostly the same in present except nosotros/vosotros.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a1_1_foundations regular__er_and__ir_present rule
a1_1_foundations::regular__er_and__ir_present::choose	a1_1_foundations	regular -er and -ir present	choose	Choose	Choose: I live in Mexico.<br>A) Vivo en México.<br>B) Vive en México.	A) Vivo en México.	yo form of vivir is vivo.	- Como arroz.<br>- Vivo en Madrid.<br>- Ella escribe mucho.	-er and -ir are mostly the same in present except nosotros/vosotros.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a1_1_foundations regular__er_and__ir_present choose
a1_1_foundations::regular__er_and__ir_present::correction	a1_1_foundations	regular -er and -ir present	correction	Correction	Correct this Spanish: Ella comes arroz.	Ella come arroz.	Third-person singular of comer is come.	- Como arroz.<br>- Vivo en Madrid.<br>- Ella escribe mucho.	-er and -ir are mostly the same in present except nosotros/vosotros.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a1_1_foundations regular__er_and__ir_present correction
a1_1_foundations::regular__er_and__ir_present::production	a1_1_foundations	regular -er and -ir present	production	Production	Write in Spanish: I eat bread.	Como pan.	The yo form of comer is como.	- Como arroz.<br>- Vivo en Madrid.<br>- Ella escribe mucho.	-er and -ir are mostly the same in present except nosotros/vosotros.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a1_1_foundations regular__er_and__ir_present production
a1_1_foundations::regular__er_and__ir_present::pattern	a1_1_foundations	regular -er and -ir present	pattern	Mini pattern	Mini pattern: -er/-ir present	stem + o/es/e/emos-en or imos-en	This is a reusable sentence chunk. Practice swapping one word at a time.	- como<br>- vivo<br>- escribimos	-er and -ir are mostly the same in present except nosotros/vosotros.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a1_1_foundations regular__er_and__ir_present pattern
a1_1_foundations::articles::rule	a1_1_foundations	articles	rule	Rule	Rule: articles	<b>Formula</b><br>definite: el/la/los/las; indefinite: un/una/unos/unas<br><br><b>Use</b><br>Use definite articles for specific nouns and indefinite articles for nonspecific nouns.	Memorize the pattern first; the other cards in this topic make you use it.	- un libro<br>- el libro<br>- unas casas<br>- las casas	Article gender and number must match the noun.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a1_1_foundations articles rule
a1_1_foundations::articles::choose	a1_1_foundations	articles	choose	Choose	Choose: a house<br>A) un casa<br>B) una casa	B) una casa	casa is feminine singular.	- un libro<br>- el libro<br>- unas casas<br>- las casas	Article gender and number must match the noun.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a1_1_foundations articles choose
a1_1_foundations::articles::correction	a1_1_foundations	articles	correction	Correction	Correct this Spanish: el casas	las casas	Plural feminine noun needs las.	- un libro<br>- el libro<br>- unas casas<br>- las casas	Article gender and number must match the noun.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a1_1_foundations articles correction
a1_1_foundations::articles::production	a1_1_foundations	articles	production	Production	Write in Spanish: some books	unos libros	libros is masculine plural.	- un libro<br>- el libro<br>- unas casas<br>- las casas	Article gender and number must match the noun.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a1_1_foundations articles production
a1_1_foundations::articles::pattern	a1_1_foundations	articles	pattern	Mini pattern	Mini pattern: article agreement	article + noun	This is a reusable sentence chunk. Practice swapping one word at a time.	- un coche<br>- una mesa<br>- los problemas	Article gender and number must match the noun.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a1_1_foundations articles pattern
a1_1_foundations::hay::rule	a1_1_foundations	hay	rule	Rule	Rule: hay	<b>Formula</b><br>hay + noun phrase<br><br><b>Use</b><br>Use hay to say that something exists or is present.	Memorize the pattern first; the other cards in this topic make you use it.	- Hay un libro.<br>- Hay tres personas.<br>- No hay tiempo.	hay does not change for singular/plural.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a1_1_foundations hay rule
a1_1_foundations::hay::choose	a1_1_foundations	hay	choose	Choose	Choose: There are two books.<br>A) Hay dos libros.<br>B) Hay dos libro.	A) Hay dos libros.	The noun becomes plural; hay stays the same.	- Hay un libro.<br>- Hay tres personas.<br>- No hay tiempo.	hay does not change for singular/plural.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a1_1_foundations hay choose
a1_1_foundations::hay::correction	a1_1_foundations	hay	correction	Correction	Correct this Spanish: Hay una problemas.	Hay unos problemas.	problemas is masculine plural.	- Hay un libro.<br>- Hay tres personas.<br>- No hay tiempo.	hay does not change for singular/plural.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a1_1_foundations hay correction
a1_1_foundations::hay::production	a1_1_foundations	hay	production	Production	Write in Spanish: There is no time.	No hay tiempo.	Use no hay for there is not/there are not.	- Hay un libro.<br>- Hay tres personas.<br>- No hay tiempo.	hay does not change for singular/plural.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a1_1_foundations hay production
a1_1_foundations::hay::pattern	a1_1_foundations	hay	pattern	Mini pattern	Mini pattern: existence	hay + noun	This is a reusable sentence chunk. Practice swapping one word at a time.	- Hay agua.<br>- Hay una mesa.<br>- Hay muchos libros.	hay does not change for singular/plural.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a1_1_foundations hay pattern
a1_1_foundations::question_words::rule	a1_1_foundations	question words	rule	Rule	Rule: question words	<b>Formula</b><br>qué, quién, dónde, cuándo, cómo, cuánto/cuánta<br><br><b>Use</b><br>Use question words to ask for specific information.	Memorize the pattern first; the other cards in this topic make you use it.	- ¿Qué estudias?<br>- ¿Dónde vives?<br>- ¿Cómo estás?	Question words normally carry accent marks.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a1_1_foundations question_words rule
