#separator:tab
#html:true
SourceID	DeckPath	Level	Topic	CardType	PromptMode	Front	Answer	TypeAnswer	Back	Formula	Examples	Audio	AudioURL	Source	Attribution	SelfGrade	Tags
en_phrase_011_thanks_so_much::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A warm, emphatic way to show gratitude.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ for staying on the line while we sorted the issue."	thanks so much	thanks so much	A warm, emphatic way to show gratitude.	Retrieve the full phrase from meaning and sentence context.	- Thanks so much for finding time in your schedule.<br>- Thanks so much, I learned a lot from your feedback.<br>- We all said thanks so much after the presentation.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_012_you_re_welcome::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A polite reply to someone saying thanks.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ is a natural way to answer after a thank-you."	you're welcome	you're welcome	A polite reply to someone saying thanks.	Retrieve the full phrase from meaning and sentence context.	- You&#x27;re welcome, it was no trouble at all.<br>- She smiled and said you&#x27;re welcome after I thanked her.<br>- You can reply with you&#x27;re welcome at work too.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_013_you_are_welcome::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to say someone is allowed or invited to do something.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ to join us for lunch after the workshop."	you are welcome	you are welcome	Used to say someone is allowed or invited to do something.	Retrieve the full phrase from meaning and sentence context.	- You are welcome to wait here while the room is prepared.<br>- You are welcome to ask questions after the demo.<br>- Guests are welcome to use the side entrance.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_014_please::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A polite word added to make a request softer.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ send the file when you have a moment."	please	please	A polite word added to make a request softer.	Retrieve the full phrase from meaning and sentence context.	- Please use the side entrance during repairs.<br>- Please review the draft before Friday.<br>- Could you please move your bag from the chair?						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_015_please_help_me::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A direct request asking for assistance.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ find the train schedule for tomorrow."	please help me	please help me	A direct request asking for assistance.	Retrieve the full phrase from meaning and sentence context.	- Please help me carry these boxes upstairs.<br>- Please help me call the office and confirm the time.<br>- Please help me understand why the upload failed.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_016_excuse_me::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to get attention or politely interrupt.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, is this seat taken?"	excuse me	excuse me	Used to get attention or politely interrupt.	Retrieve the full phrase from meaning and sentence context.	- Excuse me, I need to step outside for a quick call.<br>- Excuse me, could you pass the salt?<br>- She said excuse me before leaving the room.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_017_sorry::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to apologize or show regret.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, I missed your call while I was in traffic."	sorry	sorry	Used to apologize or show regret.	Retrieve the full phrase from meaning and sentence context.	- Sorry, I forgot to send the attachment.<br>- Sorry about the delay; I will send it now.<br>- He apologized and offered to fix the mistake.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_018_i_am_sorry::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A clear apology for a mistake or inconvenience.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ that I was late to the meeting."	i am sorry	i am sorry	A clear apology for a mistake or inconvenience.	Retrieve the full phrase from meaning and sentence context.	- I am sorry for the confusion this caused your team.<br>- I am sorry, but I cannot stay past lunch today.<br>- I am sorry about the venue change.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_019_no_problem::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to tell someone a request is not a burden.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, I can pick that up after lunch."	no problem	no problem	Used to tell someone a request is not a burden.	Retrieve the full phrase from meaning and sentence context.	- No problem, I can resend it with the correct version.<br>- No problem, take your time and come back if you need help.<br>- She said it was no problem and stayed for the meeting.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_020_that_s_okay::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to reassure someone that something is acceptable.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, we can still move it to next week."	that's okay	that's okay	Used to reassure someone that something is acceptable.	Retrieve the full phrase from meaning and sentence context.	- That&#x27;s okay, mistakes happen when the system is busy.<br>- It&#x27;s okay, I can cover for you this Friday.<br>- That&#x27;s okay, we can use another route.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_021_it_s_okay::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to say a situation is fine or acceptable.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ to ask for clarification during the review."	it's okay	it's okay	Used to say a situation is fine or acceptable.	Retrieve the full phrase from meaning and sentence context.	- It&#x27;s okay, I can resend the message right now.<br>- If you&#x27;re unsure, it&#x27;s okay to ask again.<br>- It&#x27;s okay now that we confirmed the dates.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_022_it_s_fine::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to indicate that things are all right.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, I will handle the extra work today."	it's fine	it's fine	Used to indicate that things are all right.	Retrieve the full phrase from meaning and sentence context.	- It&#x27;s fine to postpone the test by one day.<br>- That&#x27;s fine, I&#x27;ll bring extra batteries.<br>- It&#x27;s fine now that we confirmed the dates.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_023_no_worries::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to reassure someone that there is no issue.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, we will share the spreadsheet with you before noon."	no worries	no worries	Used to reassure someone that there is no issue.	Retrieve the full phrase from meaning and sentence context.	- No worries, the shipment should arrive on Tuesday.<br>- No worries, we can revisit this after the client call.<br>- I said no worries and finished the job early.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_024_don_t_worry::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to calm someone and reduce worry.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, the weather should improve by evening."	don't worry	don't worry	Used to calm someone and reduce worry.	Retrieve the full phrase from meaning and sentence context.	- Don&#x27;t worry, I&#x27;ll take care of the checkout process.<br>- Don&#x27;t worry, we have a backup plan ready.<br>- If you&#x27;re late, don&#x27;t worry and call when you arrive.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_025_take_care::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A friendly farewell wishing someone safety or wellbeing.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, and message me when you get home."	take care	take care	A friendly farewell wishing someone safety or wellbeing.	Retrieve the full phrase from meaning and sentence context.	- Take care on the icy roads tonight.<br>- Take care, and I hope your interview goes well.<br>- She waved and said take care before leaving the office.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_026_have_a_nice_day::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A friendly farewell wishing someone a good day.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, and I&#x27;ll email the receipt after you check out."	have a nice day	have a nice day	A friendly farewell wishing someone a good day.	Retrieve the full phrase from meaning and sentence context.	- Have a nice day, the weather looks perfect for a walk.<br>- The clerk said have a nice day at the end of the shift.<br>- Have a nice day, and we will see you on Monday.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_027_nice_to_meet_you::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A standard phrase used during introductions.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, I have heard great things about your team."	nice to meet you	nice to meet you	A standard phrase used during introductions.	Retrieve the full phrase from meaning and sentence context.	- Nice to meet you, I appreciate your time today.<br>- Nice to meet you, we should catch up after the workshop.<br>- It was nice to meet you at the conference.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_028_nice_to_see_you::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A friendly phrase used when reuniting with someone.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, I have missed our Friday coffee chats."	nice to see you	nice to see you	A friendly phrase used when reuniting with someone.	Retrieve the full phrase from meaning and sentence context.	- Nice to see you again after a long week.<br>- Nice to see you, your update made the timeline clear.<br>- It is nice to see you before the launch rehearsal.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_029_good_to_see_you::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A warm phrase used when meeting someone after a while.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, your feedback helps us improve quickly."	good to see you	good to see you	A warm phrase used when meeting someone after a while.	Retrieve the full phrase from meaning and sentence context.	- Good to see you, I am glad we can solve this together.<br>- Good to see you back after your trip.<br>- Good to see you at the office on Monday.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_030_good_to_hear::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to show you are glad about news.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ your internet is stable again after the outage."	good to hear	good to hear	Used to show you are glad about news.	Retrieve the full phrase from meaning and sentence context.	- Good to hear you recovered from the flu.<br>- It&#x27;s good to hear the plan is approved.<br>- Good to hear you arrived safely this morning.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_031_nice_to_talk_to_you::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_compare	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A polite phrase after having a good chat.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, your suggestion made the process simpler."	nice to talk to you	nice to talk to you	A polite phrase after having a good chat.	Retrieve the full phrase from meaning and sentence context.	- It was nice to talk to you about career goals.<br>- Nice to talk to you, I got the answer I needed.<br>- Nice to talk to you again after the workshop.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_032_nice_talking_to_you::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A polite phrase said when ending a conversation.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, and thanks for the clear summary."	nice talking to you	nice talking to you	A polite phrase said when ending a conversation.	Retrieve the full phrase from meaning and sentence context.	- Nice talking to you in yesterday&#x27;s meeting.<br>- Nice talking to you, I learned a lot from your demo.<br>- It was nice talking to you on the call.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_033_long_time_no_see::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Said when seeing someone after a long gap.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____! We should grab coffee before the summit."	long time no see	long time no see	Said when seeing someone after a long gap.	Retrieve the full phrase from meaning and sentence context.	- Long time no see, how has the new role been?<br>- Long time no see; let&#x27;s catch up next Tuesday.<br>- It was great to say long time no see to a classmate.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_034_see_you_later::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A casual way to say goodbye with the idea of another meeting.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, I will finish this ticket first."	see you later	see you later	A casual way to say goodbye with the idea of another meeting.	Retrieve the full phrase from meaning and sentence context.	- See you later, the team will continue in the afternoon.<br>- Let&#x27;s go now and see you later at the entrance.<br>- See you later once the train arrives.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_035_see_you_soon::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A friendly goodbye indicating an expected quick meeting.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, we can review the notes before the call."	see you soon	see you soon	A friendly goodbye indicating an expected quick meeting.	Retrieve the full phrase from meaning and sentence context.	- See you soon at the clinic for the follow-up.<br>- See you soon, and we will finalize the draft together.<br>- I hope to see you soon when the new office opens.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_036_see_you_tomorrow::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A goodbye that refers to meeting again next day.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, and I will bring the signed copy."	see you tomorrow	see you tomorrow	A goodbye that refers to meeting again next day.	Retrieve the full phrase from meaning and sentence context.	- See you tomorrow at the usual cafe.<br>- I will see you tomorrow once the rain clears.<br>- See you tomorrow for the morning briefing.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_037_see_you_again::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A phrase used when expecting another meeting.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ next month for the check-in review."	see you again	see you again	A phrase used when expecting another meeting.	Retrieve the full phrase from meaning and sentence context.	- Let&#x27;s meet at the station; see you again in two days.<br>- I hope to see you again after the launch.<br>- See you again soon, we still have one more update.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_038_talk_to_you_later::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to promise continuing conversation later.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, I need to prepare for the meeting."	talk to you later	talk to you later	Used to promise continuing conversation later.	Retrieve the full phrase from meaning and sentence context.	- Talk to you later after I review the file.<br>- I will talk to you later if the numbers change.<br>- Talk to you later, and good luck with the interview.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_039_call_me::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A direct request asking someone to phone you.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ when you reach the airport."	call me	call me	A direct request asking someone to phone you.	Retrieve the full phrase from meaning and sentence context.	- Call me if you need help with the upload.<br>- Call me before you leave the house.<br>- Call me once your train arrives.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_040_call_me_later::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to ask for a later phone call.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ after your class and we&#x27;ll compare notes."	call me later	call me later	Used to ask for a later phone call.	Retrieve the full phrase from meaning and sentence context.	- Call me later when you have a break.<br>- If you are still unsure, call me later tonight.<br>- Call me later, then we&#x27;ll finalize this plan.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_041_give_me_a_call::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A casual invitation to speak by phone.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ when the file is finalized."	give me a call	give me a call	A casual invitation to speak by phone.	Retrieve the full phrase from meaning and sentence context.	- Give me a call if you want to test the system together.<br>- Give me a call before the meeting starts.<br>- You can give me a call from the airport and I&#x27;ll meet you.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_042_keep_in_touch::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to encourage ongoing contact.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ after the workshop and share your draft."	keep in touch	keep in touch	Used to encourage ongoing contact.	Retrieve the full phrase from meaning and sentence context.	- Keep in touch with the team during the rollout.<br>- Let&#x27;s keep in touch once both reviews are done.<br>- Keep in touch, we may need input from legal.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_043_stay_in_touch::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to express continued communication intent.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ while you are traveling next week."	stay in touch	stay in touch	Used to express continued communication intent.	Retrieve the full phrase from meaning and sentence context.	- Stay in touch so we can adjust the schedule quickly.<br>- Stay in touch and share the receipt when it arrives.<br>- I told them to stay in touch after the training.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_044_let_me_know::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A request for updates or confirmation.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ if you want me to join the call."	let me know	let me know	A request for updates or confirmation.	Retrieve the full phrase from meaning and sentence context.	- Let me know when the printer is fixed.<br>- Please let me know your preference by Friday.<br>- Let me know if you need extra copies.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_045_how_are_you::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used as a greeting asking about someone&#x27;s wellbeing.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ doing with the new schedule this month?"	how are you	how are you	Used as a greeting asking about someone&#x27;s wellbeing.	Retrieve the full phrase from meaning and sentence context.	- How are you? I can meet you at lunch later.<br>- How are you feeling after the long trip?<br>- How are you, do you want tea before we start?						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_046_how_s_it_going::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A casual greeting asking how things are going.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ with your training this week?"	how's it going	how's it going	A casual greeting asking how things are going.	Retrieve the full phrase from meaning and sentence context.	- How&#x27;s it going, we can move once you&#x27;re ready.<br>- How&#x27;s it going on the report?<br>- Hey, how&#x27;s it going after the client call?						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_047_what_s_up::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A casual greeting used to check what is happening.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____, are we still on for the 4 p.m. meeting?"	what's up	what's up	A casual greeting used to check what is happening.	Retrieve the full phrase from meaning and sentence context.	- What&#x27;s up? I found a better route.<br>- What&#x27;s up with the invoice status?<br>- What&#x27;s up? You look energized today.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_048_good_question::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A polite way to praise a strong or useful question.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>That was a _____ about the timeline."	good question	good question	A polite way to praise a strong or useful question.	Retrieve the full phrase from meaning and sentence context.	- That was a good question about the timeline.<br>- Good question, I did not think about the access issue.<br>- Ask another good question in the Q&amp;A panel.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_049_nice_idea::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A positive response indicating you like the suggestion.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>That is a _____; let&#x27;s try it with one team first."	nice idea	nice idea	A positive response indicating you like the suggestion.	Retrieve the full phrase from meaning and sentence context.	- Nice idea, we should test it before buying software.<br>- Her nice idea cut our process time in half.<br>- Nice idea, add it to the roadmap.						english_mastery level_1 natural_phrases phrase_cloze
