selection_version	level	topic	target	spa_id	spa_text	eng_id	eng_text	audio_id	audio_contributor	audio_license	license
7	a0_survival	sentence mining	soy	436386	Soy Lin.	436385	I am Lin.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	soy	436276	Soy alto.	436275	I am tall.	34187	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	soy	454613	Soy pobre.	261477	I'm poor.	35058	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	eres	533373	Eres rico.	370754	You are rich.	435950	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	eres	530655	¿Eres nuevo?	429820	Are you new?	39015	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	eres	857920	¿Eres John?	737641	Are you John?	707635	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	eres	831160	Eres humano.	20100	You are human.	1187338	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	eres	849798	¿Eres feliz?	16164	Are you happy?	45956	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	son	434231	¿Son nuevos?	434230	Are they new?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	son	522799	Son cantantes.	305348	They are singers.	38858	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	son	385068	¿Son americanos?	305484	Are they American?	444107	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	son	330105	¿Son ellos japoneses?	307284	Are they Japanese?	444075	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	son	2754	¿Son todos iguales?	1563	Are they all the same?	453024	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estoy	436434	Estoy seguro.	436433	I am sure.	34198	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estoy	455834	Estoy perdido.	455833	I'm lost.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estoy	436428	Estoy enfermo.	436427	I am sick.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estoy	436444	Estoy cansado.	1705	I'm tired.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estoy	378279	Estoy de acuerdo.	436281	I agree.	437707	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estoy	455828	Estoy aburrido.	431539	I'm bored.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estoy	436372	Estoy contento.	436371	I am happy.	34192	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estás	580839	¿Estás bien?	29868	You all right?	435988	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estás	584367	¿Estás solo?	399354	Are you alone?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estás	2532	¿Estás seguro?	1326	Are you sure?	1331	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estás	584053	¿Estás listo?	376424	Are you ready?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estás	434253	¿Estás enferma?	434252	Are you sick?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estás	56698	Estás despedido.	64877	You're fired.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estás	449318	¿Estás cansado?	317830	Are you tired?	437896	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	está	330091	Está nevando.	272536	Snow is falling.	438040	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	está	340525	¿Está preparado el desayuno?	277786	Is breakfast ready?	449810	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	está	2826	¿Está lejos de aquí?	1651	Is it far from here?	1499	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	está	3087	Está usted en su casa.	2378	Make yourself at home.	1632	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	está	340019	Está claro que él es rico.	283556	It is clear that he is rich.	706838	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	está	329778	¿Está el Sr. Jones en la oficina?	52896	Is Mr Jones in the office?	706499	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	está	338531	Él está borracho.	470162	He is drunk.	706607	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estamos	628241	Estamos de acuerdo.	628230	We agree.	437715	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estamos	570881	Estamos casados.	528870	We're married.	435973	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estamos	338515	Estamos llorando.	248579	We are crying.	28244			Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estamos	701773	Estamos contentos.	438940	We are happy.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estamos	456242	Estamos en primavera.	456241	It's spring.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estamos	1098471	Estamos en París.	1098338	We are in Paris.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	estamos	464465	Estamos abiertos mañana.	464464	We're open tomorrow.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	están	463155	Están canosos.	463154	They are gray.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	están	581751	¿Están todos listos?	63266	Are you all ready?	444138	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	están	580836	¿Están hablando en inglés?	306191	Are they speaking English?	524850	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	están	463247	Están todos bien, gracias.	463246	They're all fine, thanks.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	están	463169	Están viendo una película.	463168	They are watching a movie.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	están	463163	Están escuchando la radio.	463162	They are listening to the radio.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	están	463161	Están escuchando un concierto.	463160	They are listening to a concert.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tengo	436376	Tengo calor.	436375	I am hot.	34193	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tengo	436326	Tengo frío.	21124	I feel cold.	34189	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tengo	2641	Tengo curiosidad.	1436	I am curious.	1396	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tengo	338535	Tengo resaca.	280988	I have a hangover.	444078	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tengo	434503	¿Tengo caries?	434502	Do I have cavities?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tengo	2807	Tengo un sueño.	1630	I have a dream.	1488	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tengo	345164	Tengo mucha sed.	255235	I'm very thirsty.	442548	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tienes	2928	Tienes razón.	411667	You're right.	1547	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tienes	434259	¿Tienes sed?	434258	Are you thirsty?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tienes	380870	¿Tienes hambre?	434242	Are you hungry?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tienes	512344	Tienes que irte.	407094	You must leave.	441320	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tienes	497500	¿Tienes uno?	16547	Do you have one?	37985	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tienes	539401	¿Tienes papel?	430161	Do you have paper?	39217	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tienes	454134	Tienes que ir.	16159	You have to go.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tiene	354977	¿Tiene usted hambre?	434242	Are you hungry?	440562	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tiene	345297	¿Tiene usted tos?	21840	Do you have a cough?	707137	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tiene	3037	¿Tiene experiencia profesional?	2224	Do you have professional experience?	1611	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tiene	343465	¿Tiene revistas japonesas?	281393	Do you have any Japanese magazines?	931379	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tiene	338845	Tiene la costumbre de dejar la puerta abierta.	291921	He has a habit of keeping the door open.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tiene	377225	Él tiene un perro.	288121	He has a dog.	438236	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tiene	329889	Él tiene dos gatos.	288257	He keeps two cats.	441472	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tenemos	464467	Tenemos calor.	464466	We're hot.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tenemos	473470	Tenemos hambre.	247930	We are hungry.	35740	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tenemos	614763	Tenemos dos niños.	408163	We have two kids.	444144	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tenemos	538670	Tenemos dos orejas.	269904	We have two ears.	636431	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tenemos	539433	Tenemos dos hijas.	249592	We have two daughters.	39220	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tenemos	571967	Tenemos buenas noticias.	66695	We have good news.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	tenemos	506952	Tenemos suficiente tiempo.	263985	We have enough time.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiero	380916	Quiero dormir.	321870	I want to sleep.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiero	437026	Quiero diez platos.	437025	I want ten plates.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiero	358262	Quiero algo dulce.	21003	I want something sweet.	459417	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiero	437028	Quiero eso para luego.	437027	I want that later.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiero	437048	Quiero besarte.	437047	I want to kiss you.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiero	455826	Quiero cambiar esto.	866127	I want to change that.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiero	437014	Quiero una tarta azul.	437013	I want a blue cake.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quieres	774793	¿Quieres ir?	237662	You want to go?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quieres	727289	¿Quieres mi foto?	485066	You want my picture?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quieres	434635	¿Quieres tener hijos?	434634	Do you want children?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quieres	496812	¿Quieres casarte conmigo?	35835	Will you marry me?	37950	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quieres	596020	¿Quieres descansar?	594680	Do you want to rest?	40562	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quieres	539408	¿Quieres bailar?	324918	Would you like to dance?	39218	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quieres	564512	¿Quieres beber algo?	562850	Do you want a drink?	39733	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiere	667213	¿Quiere comer?	403126	Would you like to eat?	436024	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiere	539410	¿Quiere bailar?	324918	Would you like to dance?	435955	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiere	579786	¿Quiere sentarse?	64486	Do you want to sit down?	40170	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiere	743073	¿Quiere café o té?	62273	Would you like coffee or tea?	582326	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiere	724930	Quiere un libro para leer.	302100	He wants a book to read.	937738	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiere	687987	¿Quiere usted pagar en efectivo?	687986	Do you want to pay in cash?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	quiere	475558	¿Quiere una taza de café?	138867	Do you want a cup of coffee?	35831	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedo	456368	¿Puedo fumar?	456367	May I smoke?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedo	456356	¿Puedo pasar?	427920	Can I come in?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedo	330124	¿Puedo entrar?	281903	Might I come in?	440035	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedo	459242	¿Puedo ayudarle?	25095	Can I help you?	35315	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedo	358460	¿Puedo usar esto?	54956	May I use this?	440915	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedo	375890	¿Puedo comer esto?	54937	Can I eat this?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedo	434393	¿Puedo llegar a pie?	434392	Can I walk there?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedes	524748	Puedes irte.	518553	You may go.	38891	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedes	346268	¿Puedes ayudarme?	434410	Can you help me?	441318	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedes	562055	¿Puedes enseñarme?	443088	Can you teach me?	39663	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedes	580907	¿Puedes demostrarlo?	41800	Can you prove it?	40238	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedes	529007	¿Puedes ver lejos?	25845	Can you see far?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedes	580908	¿Puedes correr rápido?	69135	Can you run fast?	40239	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puedes	475712	Puedes estudiar aquí.	16715	You can study here.	35855	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puede	456632	¿Puede escribirlo, por favor?	456631	Please write it down.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puede	434417	¿Puede bajar el precio?	434416	Can you lower the price?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puede	434409	¿Puede ayudarme, por favor?	434408	Can you help me, please?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puede	434403	¿Puede rellenar este formulario?	434402	Can you fill this form?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puede	434415	¿Puede cargar el lavaplatos?	434414	Can you load the dishwasher?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puede	434425	¿Puede repararme estos zapatos?	434424	Can you repair these shoes?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	puede	357543	¿Puede pasarme la sal?	400978	Could you give me the salt?	459700	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	voy	607851	Voy cada año.	322472	I go every year.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	voy	378542	Voy a ir.	1312	I'm going to go.	440388	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	voy	450251	Voy al parque.	257353	I go to the park.	442550	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	voy	506149	Voy a empezar.	258561	I'm going to start.	449862	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	voy	496844	Voy a estudiar.	261650	I am going to study.	37962	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	voy	437012	Voy al colegio a pie.	437011	I walk to school.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	voy	473450	Voy a la escuela.	396887	I am going to school.	35731	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	vas	449723	¿Vas a cantar?	69542	Are you going to sing?	34656	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	vas	633475	Vas demasiado lejos.	15991	You're going too far.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	vas	972488	¿Vas a parar de hablar?	326571	Will you stop talking?	458589	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	vas	739415	¿Vas a salir mañana?	386760	Are you going out tomorrow?	1187181	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	vas	845840	Vas a perder el tren.	43450	You will miss the train.	458582	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	vas	740932	Vas por buen camino.	17344	You're on the right track.	937530	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	vas	981557	¿Vas a comprar todos los días?	68919	Do you go shopping every day?	333073	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	va	687835	¿Va a tomar pan?	687834	Would you like bread?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	va	723311	Va a nevar.	241715	It is going to snow.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a1_1_foundations	sentence mining	va	637023	Va a llover.	26895	It is going to rain.	449928	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
