#separator:tab
#html:true
SourceID	DeckPath	Level	Topic	CardType	PromptMode	Front	Answer	TypeAnswer	Back	Formula	Examples	Audio	AudioURL	AudioContributor	AudioLicense	AudioID	Source	Attribution	Tags
a0_survival::adjective_agreement::typed_production	Spanish Core Learning::A0 Survival	a0_survival	adjective agreement	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> the red books"	los libros rojos	los libros rojos	libros is masculine plural, so rojos.	Decision rule<br>Adjectives change to match the noun in gender and number.<br><br>Pattern<br>noun + adjective; adjective agrees in gender and number<br><br>Common trap<br>Do not keep the masculine adjective for every noun.	- el libro rojo<br>- la casa roja<br>- los libros rojos								spanish_core a0_survival adjective_agreement typed_production
a0_survival::subject_pronouns::rule	Spanish Core Learning::A0 Survival	a0_survival	subject pronouns	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>subject pronouns"	yo, tú, él/ella/usted, nosotros/nosotras, ellos/ellas/ustedes		<b>Use</b><br>Spanish verb endings often show the subject, so pronouns are often optional.<br><br><b>Common trap</b><br>usted means you formal but uses third-person verb forms.	Decision rule<br>Choose pronouns by person, number, and formality.<br><br>Pattern<br>yo, tú, él/ella/usted, nosotros/nosotras, ellos/ellas/ustedes<br><br>Common trap<br>usted means you formal but uses third-person verb forms.	- yo hablo<br>- tú estudias<br>- ella trabaja								spanish_core a0_survival subject_pronouns rule
a0_survival::subject_pronouns::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	subject pronouns	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>informal singular you<br><span class=""front-cue"">Contrast: tú / usted</span>"	tú	tú	Use the informal singular pronoun, not the formal one.<br><br>Full sentence: tú	Decision rule<br>Choose pronouns by person, number, and formality.<br><br>Pattern<br>yo, tú, él/ella/usted, nosotros/nosotras, ellos/ellas/ustedes<br><br>Common trap<br>usted means you formal but uses third-person verb forms.	- yo hablo<br>- tú estudias<br>- ella trabaja								spanish_core a0_survival subject_pronouns typed_contrast
a0_survival::subject_pronouns::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	subject pronouns	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">usted hablas</span>"	usted habla	usted habla	usted uses third-person singular verb forms.	Decision rule<br>Choose pronouns by person, number, and formality.<br><br>Pattern<br>yo, tú, él/ella/usted, nosotros/nosotras, ellos/ellas/ustedes<br><br>Common trap<br>usted means you formal but uses third-person verb forms.	- yo hablo<br>- tú estudias<br>- ella trabaja								spanish_core a0_survival subject_pronouns typed_correction
a0_survival::subject_pronouns::typed_production	Spanish Core Learning::A0 Survival	a0_survival	subject pronouns	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> she"	ella	ella	Use the feminine third-person singular subject pronoun.	Decision rule<br>Choose pronouns by person, number, and formality.<br><br>Pattern<br>yo, tú, él/ella/usted, nosotros/nosotras, ellos/ellas/ustedes<br><br>Common trap<br>usted means you formal but uses third-person verb forms.	- yo hablo<br>- tú estudias<br>- ella trabaja								spanish_core a0_survival subject_pronouns typed_production
a0_survival::ser_basics::rule	Spanish Core Learning::A0 Survival	a0_survival	ser basics	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>ser basics"	yo soy; tú eres; él/ella/usted es		<b>Use</b><br>Use ser for identity, origin, profession, and basic description.<br><br><b>Common trap</b><br>Do not use es with yo.	Decision rule<br>Use ser for identity, origin, profession, and stable classification.<br><br>Pattern<br>yo soy; tú eres; él/ella/usted es<br><br>Common trap<br>Do not use es with yo.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.								spanish_core a0_survival ser_basics rule
a0_survival::ser_basics::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	ser basics	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>I am a student.<br><span class=""front-cue"">Contrast: Soy estudiante. / Es estudiante.</span>"	Soy estudiante	Soy estudiante	yo uses soy.<br><br>Full sentence: Soy estudiante.	Decision rule<br>Use ser for identity, origin, profession, and stable classification.<br><br>Pattern<br>yo soy; tú eres; él/ella/usted es<br><br>Common trap<br>Do not use es with yo.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.								spanish_core a0_survival ser_basics typed_contrast
a0_survival::ser_basics::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	ser basics	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Yo es profesor.</span>"	Yo soy profesor	Yo soy profesor	The yo form of ser is soy.	Decision rule<br>Use ser for identity, origin, profession, and stable classification.<br><br>Pattern<br>yo soy; tú eres; él/ella/usted es<br><br>Common trap<br>Do not use es with yo.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.								spanish_core a0_survival ser_basics typed_correction
a0_survival::ser_basics::typed_production	Spanish Core Learning::A0 Survival	a0_survival	ser basics	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I am Ana."	Soy Ana	Soy Ana	Subject pronoun yo can be omitted.	Decision rule<br>Use ser for identity, origin, profession, and stable classification.<br><br>Pattern<br>yo soy; tú eres; él/ella/usted es<br><br>Common trap<br>Do not use es with yo.	- Soy estudiante.<br>- Eres amable.<br>- Ella es médica.								spanish_core a0_survival ser_basics typed_production
a0_survival::negation::rule	Spanish Core Learning::A0 Survival	a0_survival	negation	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>negation"	no + verb		<b>Use</b><br>Put no before the conjugated verb to make a sentence negative.<br><br><b>Common trap</b><br>Do not put no after the verb as in English short answers.	Decision rule<br>Put no before the conjugated verb.<br><br>Pattern<br>no + verb<br><br>Common trap<br>Do not put no after the verb as in English short answers.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.								spanish_core a0_survival negation rule
a0_survival::negation::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	negation	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>I am not a teacher.<br><span class=""front-cue"">Contrast: No soy profesor. / Soy no profesor.</span>"	No soy profesor	No soy profesor	Spanish negation goes before the verb.<br><br>Full sentence: No soy profesor.	Decision rule<br>Put no before the conjugated verb.<br><br>Pattern<br>no + verb<br><br>Common trap<br>Do not put no after the verb as in English short answers.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.								spanish_core a0_survival negation typed_contrast
a0_survival::negation::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	negation	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Soy no estudiante.</span>"	No soy estudiante	No soy estudiante	Put no before soy.	Decision rule<br>Put no before the conjugated verb.<br><br>Pattern<br>no + verb<br><br>Common trap<br>Do not put no after the verb as in English short answers.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.								spanish_core a0_survival negation typed_correction
a0_survival::negation::typed_production	Spanish Core Learning::A0 Survival	a0_survival	negation	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I do not study."	No estudio	No estudio	Use no before the verb.	Decision rule<br>Put no before the conjugated verb.<br><br>Pattern<br>no + verb<br><br>Common trap<br>Do not put no after the verb as in English short answers.	- No soy médico.<br>- No estudio hoy.<br>- Ella no trabaja.								spanish_core a0_survival negation typed_production
a0_survival::yes_no_questions::rule	Spanish Core Learning::A0 Survival	a0_survival	yes-no questions	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>yes-no questions"	¿ + statement order + ?		<b>Use</b><br>Spanish yes-no questions can keep statement word order; intonation and punctuation mark the question.<br><br><b>Common trap</b><br>Use the opening question mark in formal writing.	Decision rule<br>Spanish can keep statement word order; punctuation and intonation mark the question.<br><br>Pattern<br>¿ + statement order + ?<br><br>Common trap<br>Use the opening question mark in formal writing.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?								spanish_core a0_survival yes_no_questions rule
a0_survival::yes_no_questions::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	yes-no questions	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>Do you speak Spanish?<br><span class=""front-cue"">Contrast: ¿Hablas español? / Hablas español.</span>"	¿Hablas español?	¿Hablas español?	Question marks signal a written question.<br><br>Full sentence: ¿Hablas español?	Decision rule<br>Spanish can keep statement word order; punctuation and intonation mark the question.<br><br>Pattern<br>¿ + statement order + ?<br><br>Common trap<br>Use the opening question mark in formal writing.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?								spanish_core a0_survival yes_no_questions typed_contrast
a0_survival::yes_no_questions::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	yes-no questions	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Hablas español?</span>"	¿Hablas español?	¿Hablas español?	Spanish uses opening and closing question marks.	Decision rule<br>Spanish can keep statement word order; punctuation and intonation mark the question.<br><br>Pattern<br>¿ + statement order + ?<br><br>Common trap<br>Use the opening question mark in formal writing.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?								spanish_core a0_survival yes_no_questions typed_correction
a0_survival::yes_no_questions::typed_production	Spanish Core Learning::A0 Survival	a0_survival	yes-no questions	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> Do you speak Spanish?"	¿Hablas español?	¿Hablas español?	Statement order can become a question with punctuation/intonation.	Decision rule<br>Spanish can keep statement word order; punctuation and intonation mark the question.<br><br>Pattern<br>¿ + statement order + ?<br><br>Common trap<br>Use the opening question mark in formal writing.	- ¿Eres estudiante?<br>- ¿Hablas español?<br>- ¿Es importante?								spanish_core a0_survival yes_no_questions typed_production
a1_1_foundations::ser_vs_estar::rule	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	ser vs estar	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>ser vs estar"	ser = identity/essential description; estar = location/state		<b>Use</b><br>Choose ser for what something is and estar for where/how it is.<br><br><b>Common trap</b><br>Temporary feelings usually use estar: estoy cansado.	Decision rule<br>Use ser for identity/category; use estar for location or temporary state.<br><br>Pattern<br>ser = identity/essential description; estar = location/state<br><br>Common trap<br>Temporary feelings usually use estar: estoy cansado.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.								spanish_core a1_1_foundations ser_vs_estar rule
a1_1_foundations::ser_vs_estar::typed_contrast	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	ser vs estar	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>I am tired.<br><span class=""front-cue"">Contrast: Soy cansado. / Estoy cansado.</span>"	Estoy cansado	Estoy cansado	Tired is a state, so use estar.<br><br>Full sentence: Estoy cansado.	Decision rule<br>Use ser for identity/category; use estar for location or temporary state.<br><br>Pattern<br>ser = identity/essential description; estar = location/state<br><br>Common trap<br>Temporary feelings usually use estar: estoy cansado.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.								spanish_core a1_1_foundations ser_vs_estar typed_contrast
a1_1_foundations::ser_vs_estar::typed_correction	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	ser vs estar	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Madrid está la capital de España.</span>"	Madrid es la capital de España	Madrid es la capital de España	Identity/role uses ser.	Decision rule<br>Use ser for identity/category; use estar for location or temporary state.<br><br>Pattern<br>ser = identity/essential description; estar = location/state<br><br>Common trap<br>Temporary feelings usually use estar: estoy cansado.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.								spanish_core a1_1_foundations ser_vs_estar typed_correction
a1_1_foundations::ser_vs_estar::typed_production	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	ser vs estar	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I am at home."	Estoy en casa	Estoy en casa	Location uses estar.	Decision rule<br>Use ser for identity/category; use estar for location or temporary state.<br><br>Pattern<br>ser = identity/essential description; estar = location/state<br><br>Common trap<br>Temporary feelings usually use estar: estoy cansado.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.								spanish_core a1_1_foundations ser_vs_estar typed_production
a1_1_foundations::ser_vs_estar::typed_production_extra_1	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	ser vs estar	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">ser vs estar</span><br>ser = identity/essential description; estar = location/state<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Soy estudiante		Choose ser for what something is and estar for where/how it is.	Decision rule<br>Use ser for identity/category; use estar for location or temporary state.<br><br>Pattern<br>ser = identity/essential description; estar = location/state<br><br>Common trap<br>Temporary feelings usually use estar: estoy cansado.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.								spanish_core a1_1_foundations ser_vs_estar typed_production
a1_1_foundations::ser_vs_estar::typed_production_extra_2	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	ser vs estar	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">ser vs estar</span><br>ser = identity/essential description; estar = location/state<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Estoy en casa		Choose ser for what something is and estar for where/how it is.	Decision rule<br>Use ser for identity/category; use estar for location or temporary state.<br><br>Pattern<br>ser = identity/essential description; estar = location/state<br><br>Common trap<br>Temporary feelings usually use estar: estoy cansado.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.								spanish_core a1_1_foundations ser_vs_estar typed_production
a1_1_foundations::ser_vs_estar::typed_production_extra_3	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	ser vs estar	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">ser vs estar</span><br>ser = identity/essential description; estar = location/state<br><br><span class=""front-instruction"">Model answer 3: compare grammar, word order, accents</span>"	La puerta está abierta		Choose ser for what something is and estar for where/how it is.	Decision rule<br>Use ser for identity/category; use estar for location or temporary state.<br><br>Pattern<br>ser = identity/essential description; estar = location/state<br><br>Common trap<br>Temporary feelings usually use estar: estoy cansado.	- Soy estudiante.<br>- Estoy en casa.<br>- La puerta está abierta.								spanish_core a1_1_foundations ser_vs_estar typed_production
a1_1_foundations::regular_ar_present::rule	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	regular -ar present	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>regular -ar present"	hablar: hablo, hablas, habla, hablamos, hablan		<b>Use</b><br>Use regular -ar endings for present habits and current facts.<br><br><b>Common trap</b><br>The yo form ends in -o, not -a.	Decision rule<br>Remove -ar and add the present ending for the subject.<br><br>Pattern<br>hablar: hablo, hablas, habla, hablamos, hablan<br><br>Common trap<br>The yo form ends in -o, not -a.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.								spanish_core a1_1_foundations regular_ar_present rule
a1_1_foundations::regular_ar_present::typed_contrast	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	regular -ar present	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>I speak Spanish.<br><span class=""front-cue"">Contrast: Hablo español. / Habla español.</span>"	Hablo español	Hablo español	yo form of hablar is hablo.<br><br>Full sentence: Hablo español.	Decision rule<br>Remove -ar and add the present ending for the subject.<br><br>Pattern<br>hablar: hablo, hablas, habla, hablamos, hablan<br><br>Common trap<br>The yo form ends in -o, not -a.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.								spanish_core a1_1_foundations regular_ar_present typed_contrast
a1_1_foundations::regular_ar_present::typed_correction	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	regular -ar present	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Yo habla español.</span>"	Yo hablo español	Yo hablo español	The yo ending is -o.	Decision rule<br>Remove -ar and add the present ending for the subject.<br><br>Pattern<br>hablar: hablo, hablas, habla, hablamos, hablan<br><br>Common trap<br>The yo form ends in -o, not -a.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.								spanish_core a1_1_foundations regular_ar_present typed_correction
a1_1_foundations::regular_ar_present::typed_production	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	regular -ar present	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> We study at night."	Estudiamos por la noche	Estudiamos por la noche	The nosotros form of estudiar is estudiamos.	Decision rule<br>Remove -ar and add the present ending for the subject.<br><br>Pattern<br>hablar: hablo, hablas, habla, hablamos, hablan<br><br>Common trap<br>The yo form ends in -o, not -a.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.								spanish_core a1_1_foundations regular_ar_present typed_production
a1_1_foundations::regular_ar_present::typed_production_extra_1	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	regular -ar present	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">regular -ar present</span><br>hablar: hablo, hablas, habla, hablamos, hablan<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Hablo español		Use regular -ar endings for present habits and current facts.	Decision rule<br>Remove -ar and add the present ending for the subject.<br><br>Pattern<br>hablar: hablo, hablas, habla, hablamos, hablan<br><br>Common trap<br>The yo form ends in -o, not -a.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.								spanish_core a1_1_foundations regular_ar_present typed_production
a1_1_foundations::regular_ar_present::typed_production_extra_2	Spanish Core Learning::A1.1 Foundations	a1_1_foundations	regular -ar present	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">regular -ar present</span><br>hablar: hablo, hablas, habla, hablamos, hablan<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Ella trabaja hoy		Use regular -ar endings for present habits and current facts.	Decision rule<br>Remove -ar and add the present ending for the subject.<br><br>Pattern<br>hablar: hablo, hablas, habla, hablamos, hablan<br><br>Common trap<br>The yo form ends in -o, not -a.	- Hablo español.<br>- Ella trabaja hoy.<br>- Estudiamos por la noche.								spanish_core a1_1_foundations regular_ar_present typed_production
