SourceID	Level	Phrase	Front	Meaning	Examples	Tags
en_phrase_011_thanks_so_much	1	thanks so much	Thanks so much for staying on the line while we sorted the issue.	A warm, emphatic way to show gratitude.	Thanks so much for finding time in your schedule. | Thanks so much, I learned a lot from your feedback. | We all said thanks so much after the presentation.	level_1;natural;phrase
en_phrase_012_you_re_welcome	1	you're welcome	You're welcome is a natural way to answer after a thank-you.	A polite reply to someone saying thanks.	You're welcome, it was no trouble at all. | She smiled and said you're welcome after I thanked her. | You can reply with you're welcome at work too.	level_1;natural;phrase
en_phrase_013_you_are_welcome	1	you are welcome	You are welcome to join us for lunch after the workshop.	Used to say someone is allowed or invited to do something.	You are welcome to wait here while the room is prepared. | You are welcome to ask questions after the demo. | Guests are welcome to use the side entrance.	level_1;natural;phrase
en_phrase_014_please	1	please	Please send the file when you have a moment.	A polite word added to make a request softer.	Please use the side entrance during repairs. | Please review the draft before Friday. | Could you please move your bag from the chair?	level_1;natural;phrase
en_phrase_015_please_help_me	1	please help me	Please help me find the train schedule for tomorrow.	A direct request asking for assistance.	Please help me carry these boxes upstairs. | Please help me call the office and confirm the time. | Please help me understand why the upload failed.	level_1;natural;phrase
en_phrase_016_excuse_me	1	excuse me	Excuse me, is this seat taken?	Used to get attention or politely interrupt.	"Excuse me, I need to step outside for a quick call. | Excuse me, could you pass the salt? | She said, ""Excuse me,"" before leaving the room."	level_1;natural;phrase
en_phrase_017_sorry	1	sorry	Sorry, I missed your call while I was in traffic.	Used to apologize or show regret.	Sorry, I forgot to send the attachment. | Sorry about the delay; I will send it now. | He apologized and offered to fix the mistake.	level_1;natural;phrase
en_phrase_018_i_am_sorry	1	i am sorry	I am sorry that I was late to the meeting.	A clear apology for a mistake or inconvenience.	I am sorry for the confusion this caused your team. | I am sorry, but I cannot stay past lunch today. | I am sorry about the venue change.	level_1;natural;phrase
en_phrase_019_no_problem	1	no problem	No problem, I can pick that up after lunch.	Used to tell someone a request is not a burden.	No problem, I can resend it with the correct version. | No problem, take your time and come back if you need help. | She said it was no problem and stayed for the meeting.	level_1;natural;phrase
en_phrase_020_that_s_okay	1	that's okay	That's okay, we can still move it to next week.	Used to reassure someone that something is acceptable.	That's okay, mistakes happen when the system is busy. | It's okay, I can cover for you this Friday. | That's okay, we can use another route.	level_1;natural;phrase
en_phrase_021_it_s_okay	1	it's okay	It's okay to ask for clarification during the review.	Used to say a situation is fine or acceptable.	It's okay, I can resend the message right now. | If you're unsure, it's okay to ask again. | It's okay now that we confirmed the dates.	level_1;natural;phrase
en_phrase_022_it_s_fine	1	it's fine	It's fine, I will handle the extra work today.	Used to indicate that things are all right.	It's fine to postpone the test by one day. | That's fine, I'll bring extra batteries. | It's fine now that we confirmed the dates.	level_1;natural;phrase
en_phrase_023_no_worries	1	no worries	No worries, we will share the spreadsheet with you before noon.	Used to reassure someone that there is no issue.	No worries, the shipment should arrive on Tuesday. | No worries, we can revisit this after the client call. | I said no worries and finished the job early.	level_1;natural;phrase
en_phrase_024_don_t_worry	1	don't worry	Don't worry, the weather should improve by evening.	Used to calm someone and reduce worry.	Don't worry, I'll take care of the checkout process. | Don't worry, we have a backup plan ready. | If you're late, don't worry and call when you arrive.	level_1;natural;phrase
en_phrase_025_take_care	1	take care	Take care, and message me when you get home.	A friendly farewell wishing someone safety or wellbeing.	Take care on the icy roads tonight. | Take care, and I hope your interview goes well. | She waved and said take care before leaving the office.	level_1;natural;phrase
en_phrase_026_have_a_nice_day	1	have a nice day	Have a nice day, and I'll email the receipt after you check out.	A friendly farewell wishing someone a good day.	Have a nice day, the weather looks perfect for a walk. | The clerk said have a nice day at the end of the shift. | Have a nice day, and we will see you on Monday.	level_1;natural;phrase
en_phrase_027_nice_to_meet_you	1	nice to meet you	Nice to meet you, I have heard great things about your team.	A standard phrase used during introductions.	Nice to meet you, I appreciate your time today. | Nice to meet you, we should catch up after the workshop. | It was nice to meet you at the conference.	level_1;natural;phrase
en_phrase_028_nice_to_see_you	1	nice to see you	Nice to see you, I have missed our Friday coffee chats.	A friendly phrase used when reuniting with someone.	Nice to see you again after a long week. | Nice to see you, your update made the timeline clear. | It is nice to see you before the launch rehearsal.	level_1;natural;phrase
en_phrase_029_good_to_see_you	1	good to see you	Good to see you, your feedback helps us improve quickly.	A warm phrase used when meeting someone after a while.	Good to see you, I am glad we can solve this together. | Good to see you back after your trip. | Good to see you at the office on Monday.	level_1;natural;phrase
en_phrase_030_good_to_hear	1	good to hear	Good to hear your internet is stable again after the outage.	Used to show you are glad about news.	Good to hear you recovered from the flu. | It's good to hear the plan is approved. | Good to hear you arrived safely this morning.	level_1;natural;phrase
en_phrase_031_nice_to_talk_to_you	1	nice to talk to you	Nice to talk to you, your suggestion made the process simpler.	A polite phrase after having a good chat.	It was nice to talk to you about career goals. | Nice to talk to you, I got the answer I needed. | Nice to talk to you again after the workshop.	level_1;natural;phrase
en_phrase_032_nice_talking_to_you	1	nice talking to you	Nice talking to you, and thanks for the clear summary.	A polite phrase said when ending a conversation.	Nice talking to you in yesterday's meeting. | Nice talking to you, I learned a lot from your demo. | It was nice talking to you on the call.	level_1;natural;phrase
en_phrase_033_long_time_no_see	1	long time no see	Long time no see! We should grab coffee before the summit.	Said when seeing someone after a long gap.	Long time no see, how has the new role been? | Long time no see; let's catch up next Tuesday. | It was great to say long time no see to a classmate.	level_1;natural;phrase
en_phrase_034_see_you_later	1	see you later	See you later, I will finish this ticket first.	A casual way to say goodbye with the idea of another meeting.	See you later, the team will continue in the afternoon. | Let's go now and see you later at the entrance. | See you later once the train arrives.	level_1;natural;phrase
en_phrase_035_see_you_soon	1	see you soon	See you soon, we can review the notes before the call.	A friendly goodbye indicating an expected quick meeting.	See you soon at the clinic for the follow-up. | See you soon, and we will finalize the draft together. | I hope to see you soon when the new office opens.	level_1;natural;phrase
en_phrase_036_see_you_tomorrow	1	see you tomorrow	See you tomorrow, and I will bring the signed copy.	A goodbye that refers to meeting again next day.	See you tomorrow at the usual cafe. | I will see you tomorrow once the rain clears. | See you tomorrow for the morning briefing.	level_1;natural;phrase
en_phrase_037_see_you_again	1	see you again	See you again next month for the check-in review.	A phrase used when expecting another meeting.	Let's meet at the station; see you again in two days. | I hope to see you again after the launch. | See you again soon, we still have one more update.	level_1;natural;phrase
en_phrase_038_talk_to_you_later	1	talk to you later	Talk to you later, I need to prepare for the meeting.	Used to promise continuing conversation later.	Talk to you later after I review the file. | I will talk to you later if the numbers change. | Talk to you later, and good luck with the interview.	level_1;natural;phrase
en_phrase_039_call_me	1	call me	Call me when you reach the airport.	A direct request asking someone to phone you.	Call me if you need help with the upload. | Call me before you leave the house. | Call me once your train arrives.	level_1;natural;phrase
en_phrase_040_call_me_later	1	call me later	Call me later after your class and we'll compare notes.	Used to ask for a later phone call.	Call me later when you have a break. | If you are still unsure, call me later tonight. | Call me later, then we'll finalize this plan.	level_1;natural;phrase
en_phrase_041_give_me_a_call	1	give me a call	Give me a call when the file is finalized.	A casual invitation to speak by phone.	Give me a call if you want to test the system together. | Give me a call before the meeting starts. | You can give me a call from the airport and I'll meet you.	level_1;natural;phrase
en_phrase_042_keep_in_touch	1	keep in touch	Keep in touch after the workshop and share your draft.	Used to encourage ongoing contact.	Keep in touch with the team during the rollout. | Let's keep in touch once both reviews are done. | Keep in touch, we may need input from legal.	level_1;natural;phrase
en_phrase_043_stay_in_touch	1	stay in touch	Stay in touch while you are traveling next week.	Used to express continued communication intent.	Stay in touch so we can adjust the schedule quickly. | Stay in touch and share the receipt when it arrives. | I told them to stay in touch after the training.	level_1;natural;phrase
en_phrase_044_let_me_know	1	let me know	Let me know if you want me to join the call.	A request for updates or confirmation.	Let me know when the printer is fixed. | Please let me know your preference by Friday. | Let me know if you need extra copies.	level_1;natural;phrase
en_phrase_045_how_are_you	1	how are you	How are you doing with the new schedule this month?	Used as a greeting asking about someone's wellbeing.	How are you? I can meet you at lunch later. | How are you feeling after the long trip? | How are you, do you want tea before we start?	level_1;natural;phrase
en_phrase_046_how_s_it_going	1	how's it going	How's it going with your training this week?	A casual greeting asking how things are going.	How's it going, we can move once you're ready. | How's it going on the report? | Hey, how's it going after the client call?	level_1;natural;phrase
en_phrase_047_what_s_up	1	what's up	What's up, are we still on for the 4 p.m. meeting?	A casual greeting used to check what is happening.	What's up? I found a better route. | What's up with the invoice status? | What's up? You look energized today.	level_1;natural;phrase
en_phrase_048_good_question	1	good question	That was a good question about the timeline.	A polite way to praise a strong or useful question.	That was a good question about the timeline. | Good question, I did not think about the access issue. | Ask another good question in the Q&A panel.	level_1;natural;phrase
en_phrase_049_nice_idea	1	nice idea	That is a nice idea; let's try it with one team first.	A positive response indicating you like the suggestion.	Nice idea, we should test it before buying software. | Her nice idea cut our process time in half. | Nice idea, add it to the roadmap.	level_1;natural;phrase
en_phrase_050_good_idea	1	good idea	A good idea is to send the summary to everyone.	A positive response indicating approval of a suggestion.	Good idea, we can shift the meeting to Tuesday. | Good idea, you spotted that edge case early. | She had a good idea for reducing wait times.	level_1;natural;phrase
en_phrase_051_sounds_good	1	sounds good	Sounds good, I'll book the room for us.	Agreement that a plan or offer is acceptable.	That sounds good to me, I'll book the room now. | Sounds good, let's proceed. | That sounds good, but we can confirm the deadline.	level_1;natural;phrase
en_phrase_052_sounds_fine	1	sounds fine	Sounds fine, the room is quiet and available.	Agreement that something seems acceptable.	That sounds fine, I can work from the cafe. | Sounds fine, send the revised budget tomorrow. | It sounds fine to meet after the break.	level_1;natural;phrase
en_phrase_053_that_s_true	1	that's true	That's true, we should test it on both devices.	Used to confirm that a statement is correct.	That's true, the data supports your point. | That's true, and it changes our approach. | She said that's true when the numbers matched.	level_1;natural;phrase
en_phrase_054_that_s_right	1	that's right	That's right, the file is in the shared folder.	Used to agree strongly with something.	That's right, we are meeting at 3. | That's right, please check the second screenshot. | She repeated that's right to make sure we agree.	level_1;natural;phrase
en_phrase_055_that_s_exactly_right	1	that's exactly right	That's exactly right; we need the final version by noon.	Used for strong, precise agreement.	That's exactly right, and I will call the client now. | That's exactly right, thanks for catching that typo. | It's exactly right to verify before publishing.	level_1;natural;phrase
en_phrase_056_i_understand	1	i understand	I understand the requirement after hearing the constraints.	Used to show you understand what was said.	I understand now why the process was delayed. | I understand your concern and will pass it on. | I understand, please continue with the checklist.	level_1;natural;phrase
en_phrase_057_i_see	1	i see	I see the error in the timeline and will flag it.	Used to show understanding in conversation.	I see now, that's why the report changed. | I see your point, and we can try a cleaner layout. | I see the schedule in the calendar now.	level_1;natural;phrase
en_phrase_058_i_think_so	1	i think so	I think so, the printer should be repaired by evening.	Used to give a thoughtful, qualified agreement.	I think so, but we should confirm with legal. | I think so, and I'll message you the result. | I think so, we can still make the launch.	level_1;natural;phrase
en_phrase_059_let_s_go	1	let's go	Let's go, the line is moving fast and we should be early.	A phrase used to propose moving forward.	Let's go and check the updated model. | Let's go now, then get coffee on the way. | Let's go, I found a new meeting room.	level_1;natural;phrase
en_phrase_060_come_on	1	come on	Come on, we can finish this by the end of lunch.	Used to encourage someone to act or continue.	Come on, we are overthinking it. | Come on, everyone, the train leaves in ten minutes. | Come on, we can still finish before lunch.	level_1;natural;phrase
en_phrase_061_get_up	2	get up	Get up before sunrise and the gym is still quiet.	To rise from bed or a seated position.	Get up at 6:45 on weekdays. | I need to get up early for the airport transfer. | Please get up and check in with the group.	level_2;natural;phrase
en_phrase_062_wake_up	2	wake up	Wake up when your alarm sounds, then check messages.	To stop sleeping and become alert.	Wake up, the meeting starts in twenty minutes. | Wake up and check your messages; the client replied. | I always wake up slowly on weekends.	level_2;natural;phrase
en_phrase_063_get_out	2	get out	Get out of the meeting room before the fire drill starts.	To leave or move out of a place.	Get out of the car and stretch your legs. | We had to get out of the way during the storm. | Get out of the queue and let the next team pass.	level_2;natural;phrase
en_phrase_064_get_in	2	get in	Get in the line early so you keep your place.	To enter or go inside somewhere.	Get in your car and we'll leave now. | Get in the office before security closes. | Get in the habit of writing notes.	level_2;natural;phrase
en_phrase_065_get_on	2	get on	Get on the right bus if you're heading downtown.	To board public transport, or to continue with a task.	Get on the train five minutes before departure. | I need to get on with my assignment while you prepare the slides. | She got on the bus at Central Station.	level_2;natural;phrase
en_phrase_066_get_off	2	get off	Get off at the next stop and walk the remaining distance.	To leave a transport or vehicle.	Please get off the bus one station early. | Get off the chair once the meeting is over. | Get off at Central and take the elevator up.	level_2;natural;phrase
en_phrase_067_get_home	2	get home	I usually get home by 6 p.m. if I catch the express train.	To arrive at home.	Can you get home safely before dark? | I need to get home and finish the final slide. | They get home early on Fridays to cook.	level_2;natural;phrase
en_phrase_068_get_back	2	get back	Get back to your desk and send the update.	To return to an earlier place or state.	Please get back to me with your comments by noon. | He said he'll get back from the trip on Thursday. | Get back the files before deleting them.	level_2;natural;phrase
en_phrase_069_get_by	2	get by	We get by with one laptop until repairs arrive.	To manage or cope despite difficulties.	I can get by without sugar this week. | We get by using public transport after dark. | You can get by if you share one charger between us.	level_2;natural;phrase
en_phrase_070_get_through	2	get through	The team will get through the backlog before year end.	To complete a process or survive a difficult period.	Can we get through this section in one afternoon? | I got through all support tickets this morning. | Get through the interview and you will be fine.	level_2;natural;phrase
en_phrase_071_get_along	2	get along	We get along better when we set clear expectations.	To have a good relationship with someone.	Do you get along with the new designer? | They get along surprisingly well despite different schedules. | Get along with your group mates and share tasks.	level_2;natural;phrase
en_phrase_072_get_around	2	get around	Get around the building on foot when traffic is heavy.	To manage around an obstacle or find alternatives.	Can you get around the city without a car? | We get around the problem by using a search filter. | She can get around the old office building in ten minutes.	level_2;natural;phrase
en_phrase_073_get_started	2	get started	Get started on the draft before the meeting ends.	To begin a task or activity.	Let's get started with the onboarding checklist. | Get started early and we will finish before dinner. | You should get started on the form now.	level_2;natural;phrase
en_phrase_074_get_involved	2	get involved	Get involved in the community cleanup this weekend.	To participate or become part of an activity.	He likes to get involved in every team discussion. | Get involved now before the chance closes. | They asked her to get involved with onboarding.	level_2;natural;phrase
en_phrase_075_get_ready	2	get ready	Get ready with your notes before we join the call.	To prepare yourself for something.	Get ready by 8:30 and bring your ID. | Get ready for the announcement and then check everyone in. | Please get ready and send a quick update.	level_2;natural;phrase
en_phrase_076_take_off	2	take off	The plane will take off at 9:10 after boarding.	To remove, or for a plane/ship to leave the ground/water.	She took off her coat in the warm office. | The new app will take off once we launch. | It takes off smoothly when the system updates.	level_2;natural;phrase
en_phrase_077_take_out	2	take out	Take out the old batteries and replace them this afternoon.	To remove something from a place.	Take out one chair for the guest. | Take out the cat food from the cupboard. | Take out the document and sign it.	level_2;natural;phrase
en_phrase_078_take_in	2	take in	It took me a minute to take in the news.	To understand, absorb, or process information or an experience.	Take in this new process slowly before you teach it. | I need time to take in the feedback properly. | The view was so beautiful that we stopped to take it in.	level_2;natural;phrase
en_phrase_079_take_over	2	take over	I will take over the call while you gather the numbers.	To assume control of a role, task, or device.	She took over the lead role for the last sprint. | Take over support when the queue spikes. | They asked me to take over the meeting notes.	level_2;natural;phrase
en_phrase_080_take_care_of	2	take care of	Take care of the presentation and I'll handle logistics.	To look after or handle responsibilities.	Can you take care of the printer repair? | She took care of the last-minute conflict quickly. | Take care of your assignment before the weekend.	level_2;natural;phrase
en_phrase_081_take_part_in	2	take part in	Take part in the volunteer event on Saturday.	To participate in an event or activity.	Everyone will take part in the training session. | Take part in this exercise at your own pace. | He finally took part in the discussion.	level_2;natural;phrase
en_phrase_082_take_advantage_of	2	take advantage of	Take advantage of the free parking during the event.	To make good use of an opportunity.	Take advantage of the offer before Friday. | Take advantage of your mentor meeting while they are free. | We should take advantage of slower traffic to travel now.	level_2;natural;phrase
en_phrase_083_take_notes	2	take notes	Take notes while the client reviews the contract.	To write down important points.	Please take notes during the webinar. | I take notes in shorthand during meetings. | Could you take notes and send them after call time?	level_2;natural;phrase
en_phrase_084_take_a_break	2	take a break	Take a break after this call, then continue with the checklist.	To stop briefly and rest.	Take a break if your eyes feel tired. | She said take a break and drink water every hour. | Let's take a break before the next workshop.	level_2;natural;phrase
en_phrase_085_take_a_seat	2	take a seat	Take a seat while we check your reservation.	To sit down and find a place.	Please take a seat, the presentation will start soon. | Take a seat near the window if you want. | Take a seat and fill out the form.	level_2;natural;phrase
en_phrase_086_pick_up	2	pick up	Pick up your phone before we start the call.	To collect someone/something, or learn by exposure.	Can you pick up the children after school? | Pick up the groceries on your way home. | We need to pick up those files from shared drive.	level_2;natural;phrase
en_phrase_087_pick_out	2	pick out	Pick out the right cable before you connect the projector.	To choose or select from options.	I picked out a blue notebook for the session. | Pick out a seat with good Wi-Fi. | Pick out the option with fewer fees.	level_2;natural;phrase
en_phrase_088_bring_up	2	bring up	Let's bring up the budget concern now.	To mention or raise a topic.	The manager brought up the safety issue during planning. | Bring up the client status in the stand-up. | Could you bring up the topic of overtime again?	level_2;natural;phrase
en_phrase_089_bring_out	2	bring out	The chef will bring out dessert at the end of the meal.	To make something visible, known, or available.	This lighting brings out the paint color. | Bring out the chairs for the workshop. | The update should bring out hidden bugs quickly.	level_2;natural;phrase
en_phrase_090_bring_in	2	bring in	Bring in the intern early and give them orientation.	To introduce or add something into the situation.	Bring in the documents before the inspection. | We need to bring in extra water for the long day. | Bring in your colleagues before we close the session.	level_2;natural;phrase
en_phrase_091_bring_back	2	bring back	Please bring back the keys before dinner.	To return something to the place it came from.	That song brings back our college memories. | Bring back the report from the printer. | The news brought back concern among customers.	level_2;natural;phrase
en_phrase_092_bring_forward	2	bring forward	We can bring forward the review to noon.	To present an issue earlier than planned.	Bring forward your questions until the Q&A slot. | She brought forward the meeting so everyone could attend. | Bring forward this item to the top of the list.	level_2;natural;phrase
en_phrase_093_bring_together	2	bring together	The coordinator had to bring together teams from three departments.	To combine people or elements.	We brought together volunteers and residents for the clean-up. | Bring together the data before filing it. | The story brought together everyone in the room.	level_2;natural;phrase
en_phrase_094_bring_over	2	bring over	Bring over the extra mugs before the session begins.	To take someone or something to a location.	Can you bring over the charger for me? | Bring over your laptop and we'll review it. | They brought over homemade snacks for the team.	level_2;natural;phrase
en_phrase_095_put_on	2	put on	Put on your helmet before riding the bike.	To wear, or to switch something on.	Put on your coat because it may rain. | Put on the presentation and explain the workflow. | Put on the music after the mic check.	level_2;natural;phrase
en_phrase_096_put_off	2	put off	We had to put off the event due to the storm.	To delay or postpone.	They put off the launch until next quarter. | I might put off the meeting if data is missing. | Please put off the delivery until Monday.	level_2;natural;phrase
en_phrase_097_put_away	2	put away	Please put away the papers before you leave.	To store or tidy something away.	Put away your tools after the repair. | She put away the dishes and then started editing. | Put away the old folders in the archive box.	level_2;natural;phrase
en_phrase_098_put_together	2	put together	We can put together the prototype in one afternoon.	To assemble parts into a complete whole.	Put together a quick list of questions first. | I put together the timeline in two columns. | Put together your travel plan before checkout.	level_2;natural;phrase
en_phrase_099_put_out	2	put out	Put out the office lights when the session ends.	To extinguish something, or to release it.	The waiter put out the new menu for everyone. | Put out your questions at the end of the meeting. | Put out the water jug before the kids use it.	level_2;natural;phrase
en_phrase_100_turn_on	2	turn on	Turn on the projector before the guests arrive.	To switch a device or system on.	Turn on your mute and check the audio. | Turn on the heater because it is cold outside. | Turn on the backup server now.	level_2;natural;phrase
en_phrase_101_turn_off	2	turn off	Turn off your phone during the presentation.	To switch a device or feature off.	Turn off the stove after the tea is ready. | Turn off the alarm once you are awake. | Turn off notifications for quiet hours.	level_2;natural;phrase
en_phrase_102_turn_around	2	turn around	We need to turn around the prototype before Friday.	To reverse direction or recover from delay.	The driver turned around at the wrong junction. | Turn around and check for the missing notebook. | It took a minute to turn around the situation.	level_2;natural;phrase
en_phrase_103_turn_in	2	turn in	Please turn in your timesheets before 5 p.m.	To submit work, or go to bed.	Turn in the assignment two days before review. | Turn in the keys when you return the office badge. | Turn in the completed form by tomorrow.	level_2;natural;phrase
en_phrase_104_turn_up	2	turn up	Can you turn up the lights for the film session?	To appear or rise in volume/attention.	Her alarm turned up unexpectedly early. | Turn up your voice slightly so we can hear each other. | Turn up in the meeting room by 9:10.	level_2;natural;phrase
en_phrase_105_turn_down	2	turn down	Please turn down the music so we can hear each other.	To reject or lower volume.	He turned down the offer after considering the timing. | Turn down the oven at 180 degrees. | Don't turn down questions; add them to the board.	level_2;natural;phrase
en_phrase_106_turn_out	2	turn out	The lights will turn out when the timer ends.	To result in a particular outcome.	It turns out the report was missing a signature. | Turn out the chairs before the class. | Turn out this weekend's event if it rains.	level_2;natural;phrase
en_phrase_107_turn_over	2	turn over	Please turn over the report before sending it.	To rotate, flip, or hand over responsibility.	He turned over the page to review the terms. | Turn over the new team quickly during the shift. | Turn over the assignment to your backup colleague.	level_2;natural;phrase
en_phrase_108_turn_to	2	turn to	When stuck, turn to the examples at the end.	To turn attention or effort toward something.	Turn to your teammate if you need clarification. | Turn to planning mode after the kickoff. | Turn to the glossary page for the full list.	level_2;natural;phrase
en_phrase_109_look_at	2	look at	Look at the map and choose the quickest route.	To direct your attention and view something.	Look at the chart before you change the numbers. | Look at this sentence and fix the date. | Look at the schedule and let me know.	level_2;natural;phrase
en_phrase_110_look_for	2	look for	Look for a charger before boarding the train.	To search for something or someone.	I am looking for the final invoice right now. | Look for a seat near the front. | They looked for the missing adapter all morning.	level_2;natural;phrase
en_phrase_111_look_after	2	look after	Can you look after my dog while I visit the clinic?	To care for or supervise someone/something.	My aunt can look after the house during the weekend. | Look after the volunteers and keep attendance. | She agreed to look after the team leads.	level_2;natural;phrase
en_phrase_112_look_into	2	look into	The committee will look into the complaint this week.	To investigate or examine in detail.	Please look into the billing error and report back. | I will look into whether the feature can be restored. | Look into this file; the bug is in the header.	level_2;natural;phrase
en_phrase_113_look_up	2	look up	I had to look up the meeting room number in the app.	To search for information, often online or in a list.	Look up the customer ID before you print it. | Look up your answer in the guide. | Look up the nearest station and go from there.	level_2;natural;phrase
en_phrase_114_look_over	2	look over	Look over your notes before the interview.	To review or examine briefly for understanding.	Could you look over this paragraph for clarity? | Look over the agreement before you sign it. | I will look over the logs after deployment.	level_2;natural;phrase
en_phrase_115_look_through	2	look through	Look through the archive and pick the oldest draft.	To scan or inspect the contents of something.	I look through invoices every Friday. | Look through the photos before editing. | Look through the files and delete duplicates.	level_2;natural;phrase
en_phrase_116_look_forward_to	2	look forward to	I look forward to hearing your final decision.	To anticipate something with interest.	I look forward to the workshop next week. | We look forward to your visit in September. | She said she looks forward to the next chapter.	level_2;natural;phrase
en_phrase_117_look_around	2	look around	Look around the store before choosing a gift.	To explore or check what is available.	We looked around the city and found a quiet cafe. | Look around the office for a place to charge your phone. | Take a minute to look around the gallery.	level_2;natural;phrase
en_phrase_118_look_ahead	2	look ahead	We should look ahead to tomorrow's tasks now.	To think about future plans or events.	Look ahead and book the bus early for Thursday. | Look ahead at budget trends before the quarter ends. | She always tells me to look ahead on deadlines.	level_2;natural;phrase
en_phrase_119_come_in	2	come in	Come in and take a seat when you arrive.	To enter a place.	The meeting room is ready, so come in quickly. | The rain came in through the open window. | Come in, I prepared tea for everyone.	level_2;natural;phrase
en_phrase_120_come_out	2	come out	Come out as soon as the storm stops.	To emerge or be revealed publicly.	Come out as soon as the storm clears. | The report will come out after final approval. | Let him come out and start the meeting.	level_2;natural;phrase
en_phrase_121_in_fact	3	in fact	In fact, our backup system restored the server in under 20 minutes.	Used to confirm or emphasize a true point.	The meeting started late, but in fact we were on time for the keynote. | The data looked complete, and in fact, it had already been validated by quality. | The repair looked minor; in fact, it required a full replacement.	level_3;natural;phrase
en_phrase_122_for_example	3	for example	For example, the coach used three short drills before the game.	Used to introduce a concrete example.	Some teams skip warmups; for example, the junior squad always stretches first. | Several countries use different rail cards; for example, Germany and Japan have separate systems. | Add one concrete detail; for example, mention the exact deadline.	level_3;natural;phrase
en_phrase_123_for_instance	3	for instance	For instance, the city added more bike lanes after complaints.	Used to give one specific case.	Two recipes needed updates, and for instance, the soup one was delayed first. | She keeps receipts for tax year, for instance, one for every trip over a hundred dollars. | Several files were missing; for instance, the tax form was not attached.	level_3;natural;phrase
en_phrase_124_as_soon_as	3	as soon as	As soon as the test passes, we can deploy the patch.	Used to indicate immediate sequence between events.	As soon as the rain stopped, the runners started again. | Please call me as soon as you finish booking the tickets. | Send the receipt as soon as the payment clears.	level_3;natural;phrase
en_phrase_125_in_order	3	in order	In order to close the report, please attach the attendance sheet.	Used to introduce a purpose, often before an infinitive.	He stayed quiet in order to keep the surprise secret. | The team postponed shipping in order to fix the security issue. | We changed the route in order to avoid the flooded road.	level_3;natural;phrase
en_phrase_126_at_the_moment	3	at the moment	At the moment, our office is using a rotating weekend schedule.	Used to describe the current time period or present situation.	At the moment, the building is closed for renovation. | The team is still using temporary desks at the moment. | At the moment, I cannot confirm the final price.	level_3;natural;phrase
en_phrase_127_in_the_meantime	3	in the meantime	In the meantime, the volunteers prepared the welcome packets.	Used to describe what happens while waiting for something else.	She booked a hotel for next week; in the meantime, she set up a video chat. | The storm warning is active, so we will wait at home in the meantime. | The new laptop ships tomorrow; in the meantime, use the shared machine.	level_3;natural;phrase
en_phrase_128_in_the_process_of	3	in the process of	In the process of migrating the database, we found two outdated scripts.	Used when an action is currently underway.	The school is in the process of rewiring the science lab. | We are in the process of reviewing all expense receipts. | They found three errors in the process of checking the archive.	level_3;natural;phrase
