#separator:tab
#html:true
SourceID	Level	Phrase	Front	FrontHTML	Meaning	Examples	Tags
en_phrase_014_please	level_1	please	Please send the file when you have a moment.	"<span class=""target-phrase"">Please</span> send the file when you have a moment."	A polite word added to make a request softer.	- Please use the side entrance during repairs.<br>- Please review the draft before Friday.<br>- Could you please move your bag from the chair?	english_phrases natural_phrases level_1 natural phrase please
en_phrase_015_please_help_me	level_1	please help me	Please help me find the train schedule for tomorrow.	"<span class=""target-phrase"">Please help me</span> find the train schedule for tomorrow."	A direct request asking for assistance.	- Please help me carry these boxes upstairs.<br>- Please help me call the office and confirm the time.<br>- Please help me understand why the upload failed.	english_phrases natural_phrases level_1 natural phrase please_help_me
en_phrase_016_excuse_me	level_1	excuse me	Excuse me, is this seat taken?	"<span class=""target-phrase"">Excuse me</span>, is this seat taken?"	Used to get attention or politely interrupt.	- Excuse me, I need to step outside for a quick call.<br>- Excuse me, could you pass the salt?<br>- She said excuse me before leaving the room.	english_phrases natural_phrases level_1 natural phrase excuse_me
en_phrase_017_sorry	level_1	sorry	Sorry, I missed your call while I was in traffic.	"<span class=""target-phrase"">Sorry</span>, I missed your call while I was in traffic."	Used to apologize or show regret.	- Sorry, I forgot to send the attachment.<br>- Sorry about the delay; I will send it now.<br>- He apologized and offered to fix the mistake.	english_phrases natural_phrases level_1 natural phrase sorry
en_phrase_018_i_am_sorry	level_1	i am sorry	I am sorry that I was late to the meeting.	"<span class=""target-phrase"">I am sorry</span> that I was late to the meeting."	A clear apology for a mistake or inconvenience.	- I am sorry for the confusion this caused your team.<br>- I am sorry, but I cannot stay past lunch today.<br>- I am sorry about the venue change.	english_phrases natural_phrases level_1 natural phrase i_am_sorry
en_phrase_019_no_problem	level_1	no problem	No problem, I can pick that up after lunch.	"<span class=""target-phrase"">No problem</span>, I can pick that up after lunch."	Used to tell someone a request is not a burden.	- No problem, I can resend it with the correct version.<br>- No problem, take your time and come back if you need help.<br>- She said it was no problem and stayed for the meeting.	english_phrases natural_phrases level_1 natural phrase no_problem
en_phrase_020_that_s_okay	level_1	that's okay	That's okay, we can still move it to next week.	"<span class=""target-phrase"">That&#x27;s okay</span>, we can still move it to next week."	Used to reassure someone that something is acceptable.	- That's okay, mistakes happen when the system is busy.<br>- It's okay, I can cover for you this Friday.<br>- That's okay, we can use another route.	english_phrases natural_phrases level_1 natural phrase that_s_okay
en_phrase_021_it_s_okay	level_1	it's okay	It's okay to ask for clarification during the review.	"<span class=""target-phrase"">It&#x27;s okay</span> to ask for clarification during the review."	Used to say a situation is fine or acceptable.	- It's okay, I can resend the message right now.<br>- If you're unsure, it's okay to ask again.<br>- It's okay now that we confirmed the dates.	english_phrases natural_phrases level_1 natural phrase it_s_okay
en_phrase_022_it_s_fine	level_1	it's fine	It's fine, I will handle the extra work today.	"<span class=""target-phrase"">It&#x27;s fine</span>, I will handle the extra work today."	Used to indicate that things are all right.	- It's fine to postpone the test by one day.<br>- That's fine, I'll bring extra batteries.<br>- It's fine now that we confirmed the dates.	english_phrases natural_phrases level_1 natural phrase it_s_fine
en_phrase_023_no_worries	level_1	no worries	No worries, we will share the spreadsheet with you before noon.	"<span class=""target-phrase"">No worries</span>, we will share the spreadsheet with you before noon."	Used to reassure someone that there is no issue.	- No worries, the shipment should arrive on Tuesday.<br>- No worries, we can revisit this after the client call.<br>- I said no worries and finished the job early.	english_phrases natural_phrases level_1 natural phrase no_worries
en_phrase_024_don_t_worry	level_1	don't worry	Don't worry, the weather should improve by evening.	"<span class=""target-phrase"">Don&#x27;t worry</span>, the weather should improve by evening."	Used to calm someone and reduce worry.	- Don't worry, I'll take care of the checkout process.<br>- Don't worry, we have a backup plan ready.<br>- If you're late, don't worry and call when you arrive.	english_phrases natural_phrases level_1 natural phrase don_t_worry
en_phrase_025_take_care	level_1	take care	Take care, and message me when you get home.	"<span class=""target-phrase"">Take care</span>, and message me when you get home."	A friendly farewell wishing someone safety or wellbeing.	- Take care on the icy roads tonight.<br>- Take care, and I hope your interview goes well.<br>- She waved and said take care before leaving the office.	english_phrases natural_phrases level_1 natural phrase take_care
en_phrase_026_have_a_nice_day	level_1	have a nice day	Have a nice day, and I'll email the receipt after you check out.	"<span class=""target-phrase"">Have a nice day</span>, and I&#x27;ll email the receipt after you check out."	A friendly farewell wishing someone a good day.	- Have a nice day, the weather looks perfect for a walk.<br>- The clerk said have a nice day at the end of the shift.<br>- Have a nice day, and we will see you on Monday.	english_phrases natural_phrases level_1 natural phrase have_a_nice_day
en_phrase_027_nice_to_meet_you	level_1	nice to meet you	Nice to meet you, I have heard great things about your team.	"<span class=""target-phrase"">Nice to meet you</span>, I have heard great things about your team."	A standard phrase used during introductions.	- Nice to meet you, I appreciate your time today.<br>- Nice to meet you, we should catch up after the workshop.<br>- It was nice to meet you at the conference.	english_phrases natural_phrases level_1 natural phrase nice_to_meet_you
en_phrase_028_nice_to_see_you	level_1	nice to see you	Nice to see you, I have missed our Friday coffee chats.	"<span class=""target-phrase"">Nice to see you</span>, I have missed our Friday coffee chats."	A friendly phrase used when reuniting with someone.	- Nice to see you again after a long week.<br>- Nice to see you, your update made the timeline clear.<br>- It is nice to see you before the launch rehearsal.	english_phrases natural_phrases level_1 natural phrase nice_to_see_you
en_phrase_029_good_to_see_you	level_1	good to see you	Good to see you, your feedback helps us improve quickly.	"<span class=""target-phrase"">Good to see you</span>, your feedback helps us improve quickly."	A warm phrase used when meeting someone after a while.	- Good to see you, I am glad we can solve this together.<br>- Good to see you back after your trip.<br>- Good to see you at the office on Monday.	english_phrases natural_phrases level_1 natural phrase good_to_see_you
en_phrase_030_good_to_hear	level_1	good to hear	Good to hear your internet is stable again after the outage.	"<span class=""target-phrase"">Good to hear</span> your internet is stable again after the outage."	Used to show you are glad about news.	- Good to hear you recovered from the flu.<br>- It's good to hear the plan is approved.<br>- Good to hear you arrived safely this morning.	english_phrases natural_phrases level_1 natural phrase good_to_hear
en_phrase_031_nice_to_talk_to_you	level_1	nice to talk to you	Nice to talk to you, your suggestion made the process simpler.	"<span class=""target-phrase"">Nice to talk to you</span>, your suggestion made the process simpler."	A polite phrase after having a good chat.	- It was nice to talk to you about career goals.<br>- Nice to talk to you, I got the answer I needed.<br>- Nice to talk to you again after the workshop.	english_phrases natural_phrases level_1 natural phrase nice_to_talk_to_you
en_phrase_032_nice_talking_to_you	level_1	nice talking to you	Nice talking to you, and thanks for the clear summary.	"<span class=""target-phrase"">Nice talking to you</span>, and thanks for the clear summary."	A polite phrase said when ending a conversation.	- Nice talking to you in yesterday's meeting.<br>- Nice talking to you, I learned a lot from your demo.<br>- It was nice talking to you on the call.	english_phrases natural_phrases level_1 natural phrase nice_talking_to_you
en_phrase_033_long_time_no_see	level_1	long time no see	Long time no see! We should grab coffee before the summit.	"<span class=""target-phrase"">Long time no see</span>! We should grab coffee before the summit."	Said when seeing someone after a long gap.	- Long time no see, how has the new role been?<br>- Long time no see; let's catch up next Tuesday.<br>- It was great to say long time no see to a classmate.	english_phrases natural_phrases level_1 natural phrase long_time_no_see
en_phrase_034_see_you_later	level_1	see you later	See you later, I will finish this ticket first.	"<span class=""target-phrase"">See you later</span>, I will finish this ticket first."	A casual way to say goodbye with the idea of another meeting.	- See you later, the team will continue in the afternoon.<br>- Let's go now and see you later at the entrance.<br>- See you later once the train arrives.	english_phrases natural_phrases level_1 natural phrase see_you_later
en_phrase_035_see_you_soon	level_1	see you soon	See you soon, we can review the notes before the call.	"<span class=""target-phrase"">See you soon</span>, we can review the notes before the call."	A friendly goodbye indicating an expected quick meeting.	- See you soon at the clinic for the follow-up.<br>- See you soon, and we will finalize the draft together.<br>- I hope to see you soon when the new office opens.	english_phrases natural_phrases level_1 natural phrase see_you_soon
en_phrase_036_see_you_tomorrow	level_1	see you tomorrow	See you tomorrow, and I will bring the signed copy.	"<span class=""target-phrase"">See you tomorrow</span>, and I will bring the signed copy."	A goodbye that refers to meeting again next day.	- See you tomorrow at the usual cafe.<br>- I will see you tomorrow once the rain clears.<br>- See you tomorrow for the morning briefing.	english_phrases natural_phrases level_1 natural phrase see_you_tomorrow
en_phrase_037_see_you_again	level_1	see you again	See you again next month for the check-in review.	"<span class=""target-phrase"">See you again</span> next month for the check-in review."	A phrase used when expecting another meeting.	- Let's meet at the station; see you again in two days.<br>- I hope to see you again after the launch.<br>- See you again soon, we still have one more update.	english_phrases natural_phrases level_1 natural phrase see_you_again
en_phrase_038_talk_to_you_later	level_1	talk to you later	Talk to you later, I need to prepare for the meeting.	"<span class=""target-phrase"">Talk to you later</span>, I need to prepare for the meeting."	Used to promise continuing conversation later.	- Talk to you later after I review the file.<br>- I will talk to you later if the numbers change.<br>- Talk to you later, and good luck with the interview.	english_phrases natural_phrases level_1 natural phrase talk_to_you_later
en_phrase_039_call_me	level_1	call me	Call me when you reach the airport.	"<span class=""target-phrase"">Call me</span> when you reach the airport."	A direct request asking someone to phone you.	- Call me if you need help with the upload.<br>- Call me before you leave the house.<br>- Call me once your train arrives.	english_phrases natural_phrases level_1 natural phrase call_me
en_phrase_040_call_me_later	level_1	call me later	Call me later after your class and we'll compare notes.	"<span class=""target-phrase"">Call me later</span> after your class and we&#x27;ll compare notes."	Used to ask for a later phone call.	- Call me later when you have a break.<br>- If you are still unsure, call me later tonight.<br>- Call me later, then we'll finalize this plan.	english_phrases natural_phrases level_1 natural phrase call_me_later
en_phrase_041_give_me_a_call	level_1	give me a call	Give me a call when the file is finalized.	"<span class=""target-phrase"">Give me a call</span> when the file is finalized."	A casual invitation to speak by phone.	- Give me a call if you want to test the system together.<br>- Give me a call before the meeting starts.<br>- You can give me a call from the airport and I'll meet you.	english_phrases natural_phrases level_1 natural phrase give_me_a_call
en_phrase_042_keep_in_touch	level_1	keep in touch	Keep in touch after the workshop and share your draft.	"<span class=""target-phrase"">Keep in touch</span> after the workshop and share your draft."	Used to encourage ongoing contact.	- Keep in touch with the team during the rollout.<br>- Let's keep in touch once both reviews are done.<br>- Keep in touch, we may need input from legal.	english_phrases natural_phrases level_1 natural phrase keep_in_touch
en_phrase_043_stay_in_touch	level_1	stay in touch	Stay in touch while you are traveling next week.	"<span class=""target-phrase"">Stay in touch</span> while you are traveling next week."	Used to express continued communication intent.	- Stay in touch so we can adjust the schedule quickly.<br>- Stay in touch and share the receipt when it arrives.<br>- I told them to stay in touch after the training.	english_phrases natural_phrases level_1 natural phrase stay_in_touch
en_phrase_044_let_me_know	level_1	let me know	Let me know if you want me to join the call.	"<span class=""target-phrase"">Let me know</span> if you want me to join the call."	A request for updates or confirmation.	- Let me know when the printer is fixed.<br>- Please let me know your preference by Friday.<br>- Let me know if you need extra copies.	english_phrases natural_phrases level_1 natural phrase let_me_know
en_phrase_045_how_are_you	level_1	how are you	How are you doing with the new schedule this month?	"<span class=""target-phrase"">How are you</span> doing with the new schedule this month?"	Used as a greeting asking about someone's wellbeing.	- How are you? I can meet you at lunch later.<br>- How are you feeling after the long trip?<br>- How are you, do you want tea before we start?	english_phrases natural_phrases level_1 natural phrase how_are_you
en_phrase_046_how_s_it_going	level_1	how's it going	How's it going with your training this week?	"<span class=""target-phrase"">How&#x27;s it going</span> with your training this week?"	A casual greeting asking how things are going.	- How's it going, we can move once you're ready.<br>- How's it going on the report?<br>- Hey, how's it going after the client call?	english_phrases natural_phrases level_1 natural phrase how_s_it_going
en_phrase_047_what_s_up	level_1	what's up	What's up, are we still on for the 4 p.m. meeting?	"<span class=""target-phrase"">What&#x27;s up</span>, are we still on for the 4 p.m. meeting?"	A casual greeting used to check what is happening.	- What's up? I found a better route.<br>- What's up with the invoice status?<br>- What's up? You look energized today.	english_phrases natural_phrases level_1 natural phrase what_s_up
en_phrase_048_good_question	level_1	good question	That was a good question about the timeline.	"That was a <span class=""target-phrase"">good question</span> about the timeline."	A polite way to praise a strong or useful question.	- That was a good question about the timeline.<br>- Good question, I did not think about the access issue.<br>- Ask another good question in the Q&A panel.	english_phrases natural_phrases level_1 natural phrase good_question
en_phrase_049_nice_idea	level_1	nice idea	That is a nice idea; let's try it with one team first.	"That is a <span class=""target-phrase"">nice idea</span>; let&#x27;s try it with one team first."	A positive response indicating you like the suggestion.	- Nice idea, we should test it before buying software.<br>- Her nice idea cut our process time in half.<br>- Nice idea, add it to the roadmap.	english_phrases natural_phrases level_1 natural phrase nice_idea
en_phrase_050_good_idea	level_1	good idea	A good idea is to send the summary to everyone.	"A <span class=""target-phrase"">good idea</span> is to send the summary to everyone."	A positive response indicating approval of a suggestion.	- Good idea, we can shift the meeting to Tuesday.<br>- Good idea, you spotted that edge case early.<br>- She had a good idea for reducing wait times.	english_phrases natural_phrases level_1 natural phrase good_idea
en_phrase_051_sounds_good	level_1	sounds good	Sounds good, I'll book the room for us.	"<span class=""target-phrase"">Sounds good</span>, I&#x27;ll book the room for us."	Agreement that a plan or offer is acceptable.	- That sounds good to me, I'll book the room now.<br>- Sounds good, let's proceed.<br>- That sounds good, but we can confirm the deadline.	english_phrases natural_phrases level_1 natural phrase sounds_good
en_phrase_052_sounds_fine	level_1	sounds fine	Sounds fine, the room is quiet and available.	"<span class=""target-phrase"">Sounds fine</span>, the room is quiet and available."	Agreement that something seems acceptable.	- That sounds fine, I can work from the cafe.<br>- Sounds fine, send the revised budget tomorrow.<br>- It sounds fine to meet after the break.	english_phrases natural_phrases level_1 natural phrase sounds_fine
en_phrase_053_that_s_true	level_1	that's true	That's true, we should test it on both devices.	"<span class=""target-phrase"">That&#x27;s true</span>, we should test it on both devices."	Used to confirm that a statement is correct.	- That's true, the data supports your point.<br>- That's true, and it changes our approach.<br>- She said that's true when the numbers matched.	english_phrases natural_phrases level_1 natural phrase that_s_true
en_phrase_054_that_s_right	level_1	that's right	That's right, the file is in the shared folder.	"<span class=""target-phrase"">That&#x27;s right</span>, the file is in the shared folder."	Used to agree strongly with something.	- That's right, we are meeting at 3.<br>- That's right, please check the second screenshot.<br>- She repeated that's right to make sure we agree.	english_phrases natural_phrases level_1 natural phrase that_s_right
en_phrase_055_that_s_exactly_right	level_1	that's exactly right	That's exactly right; we need the final version by noon.	"<span class=""target-phrase"">That&#x27;s exactly right</span>; we need the final version by noon."	Used for strong, precise agreement.	- That's exactly right, and I will call the client now.<br>- That's exactly right, thanks for catching that typo.<br>- It's exactly right to verify before publishing.	english_phrases natural_phrases level_1 natural phrase that_s_exactly_right
en_phrase_056_i_understand	level_1	i understand	I understand the requirement after hearing the constraints.	"<span class=""target-phrase"">I understand</span> the requirement after hearing the constraints."	Used to show you understand what was said.	- I understand now why the process was delayed.<br>- I understand your concern and will pass it on.<br>- I understand, please continue with the checklist.	english_phrases natural_phrases level_1 natural phrase i_understand
en_phrase_057_i_see	level_1	i see	I see the error in the timeline and will flag it.	"<span class=""target-phrase"">I see</span> the error in the timeline and will flag it."	Used to show understanding in conversation.	- I see now, that's why the report changed.<br>- I see your point, and we can try a cleaner layout.<br>- I see the schedule in the calendar now.	english_phrases natural_phrases level_1 natural phrase i_see
en_phrase_058_i_think_so	level_1	i think so	I think so, the printer should be repaired by evening.	"<span class=""target-phrase"">I think so</span>, the printer should be repaired by evening."	Used to give a thoughtful, qualified agreement.	- I think so, but we should confirm with legal.<br>- I think so, and I'll message you the result.<br>- I think so, we can still make the launch.	english_phrases natural_phrases level_1 natural phrase i_think_so
en_phrase_059_let_s_go	level_1	let's go	Let's go, the line is moving fast and we should be early.	"<span class=""target-phrase"">Let&#x27;s go</span>, the line is moving fast and we should be early."	A phrase used to propose moving forward.	- Let's go and check the updated model.<br>- Let's go now, then get coffee on the way.<br>- Let's go, I found a new meeting room.	english_phrases natural_phrases level_1 natural phrase let_s_go
en_phrase_060_come_on	level_1	come on	Come on, we can finish this by the end of lunch.	"<span class=""target-phrase"">Come on</span>, we can finish this by the end of lunch."	Used to encourage someone to act or continue.	- Come on, we are overthinking it.<br>- Come on, everyone, the train leaves in ten minutes.<br>- Come on, we can still finish before lunch.	english_phrases natural_phrases level_1 natural phrase come_on
en_phrase_061_get_up	level_2	get up	Get up before sunrise and the gym is still quiet.	"<span class=""target-phrase"">Get up</span> before sunrise and the gym is still quiet."	To rise from bed or a seated position.	- Get up at 6:45 on weekdays.<br>- I need to get up early for the airport transfer.<br>- Please get up and check in with the group.	english_phrases natural_phrases level_2 natural phrase get_up
en_phrase_062_wake_up	level_2	wake up	Wake up when your alarm sounds, then check messages.	"<span class=""target-phrase"">Wake up</span> when your alarm sounds, then check messages."	To stop sleeping and become alert.	- Wake up, the meeting starts in twenty minutes.<br>- Wake up and check your messages; the client replied.<br>- I always wake up slowly on weekends.	english_phrases natural_phrases level_2 natural phrase wake_up
en_phrase_063_get_out	level_2	get out	Get out of the meeting room before the fire drill starts.	"<span class=""target-phrase"">Get out</span> of the meeting room before the fire drill starts."	To leave or move out of a place.	- Get out of the car and stretch your legs.<br>- We had to get out of the way during the storm.<br>- Get out of the queue and let the next team pass.	english_phrases natural_phrases level_2 natural phrase get_out
en_phrase_064_get_in	level_2	get in	Get in the line early so you keep your place.	"<span class=""target-phrase"">Get in</span> the line early so you keep your place."	To enter or go inside somewhere.	- Get in your car and we'll leave now.<br>- Get in the office before security closes.<br>- Get in the habit of writing notes.	english_phrases natural_phrases level_2 natural phrase get_in
en_phrase_065_get_on	level_2	get on	Get on the right bus if you're heading downtown.	"<span class=""target-phrase"">Get on</span> the right bus if you&#x27;re heading downtown."	To board public transport, or to continue with a task.	- Get on the train five minutes before departure.<br>- I need to get on with my assignment while you prepare the slides.<br>- She got on the bus at Central Station.	english_phrases natural_phrases level_2 natural phrase get_on
en_phrase_066_get_off	level_2	get off	Get off at the next stop and walk the remaining distance.	"<span class=""target-phrase"">Get off</span> at the next stop and walk the remaining distance."	To leave a transport or vehicle.	- Please get off the bus one station early.<br>- Get off the chair once the meeting is over.<br>- Get off at Central and take the elevator up.	english_phrases natural_phrases level_2 natural phrase get_off
en_phrase_067_get_home	level_2	get home	I usually get home by 6 p.m. if I catch the express train.	"I usually <span class=""target-phrase"">get home</span> by 6 p.m. if I catch the express train."	To arrive at home.	- Can you get home safely before dark?<br>- I need to get home and finish the final slide.<br>- They get home early on Fridays to cook.	english_phrases natural_phrases level_2 natural phrase get_home
en_phrase_068_get_back	level_2	get back	Get back to your desk and send the update.	"<span class=""target-phrase"">Get back</span> to your desk and send the update."	To return to an earlier place or state.	- Please get back to me with your comments by noon.<br>- He said he'll get back from the trip on Thursday.<br>- Get back the files before deleting them.	english_phrases natural_phrases level_2 natural phrase get_back
en_phrase_069_get_by	level_2	get by	We get by with one laptop until repairs arrive.	"We <span class=""target-phrase"">get by</span> with one laptop until repairs arrive."	To manage or cope despite difficulties.	- I can get by without sugar this week.<br>- We get by using public transport after dark.<br>- You can get by if you share one charger between us.	english_phrases natural_phrases level_2 natural phrase get_by
en_phrase_070_get_through	level_2	get through	The team will get through the backlog before year end.	"The team will <span class=""target-phrase"">get through</span> the backlog before year end."	To complete a process or survive a difficult period.	- Can we get through this section in one afternoon?<br>- I got through all support tickets this morning.<br>- Get through the interview and you will be fine.	english_phrases natural_phrases level_2 natural phrase get_through
en_phrase_071_get_along	level_2	get along	We get along better when we set clear expectations.	"We <span class=""target-phrase"">get along</span> better when we set clear expectations."	To have a good relationship with someone.	- Do you get along with the new designer?<br>- They get along surprisingly well despite different schedules.<br>- Get along with your group mates and share tasks.	english_phrases natural_phrases level_2 natural phrase get_along
en_phrase_072_get_around	level_2	get around	Get around the building on foot when traffic is heavy.	"<span class=""target-phrase"">Get around</span> the building on foot when traffic is heavy."	To manage around an obstacle or find alternatives.	- Can you get around the city without a car?<br>- We get around the problem by using a search filter.<br>- She can get around the old office building in ten minutes.	english_phrases natural_phrases level_2 natural phrase get_around
en_phrase_073_get_started	level_2	get started	Get started on the draft before the meeting ends.	"<span class=""target-phrase"">Get started</span> on the draft before the meeting ends."	To begin a task or activity.	- Let's get started with the onboarding checklist.<br>- Get started early and we will finish before dinner.<br>- You should get started on the form now.	english_phrases natural_phrases level_2 natural phrase get_started
en_phrase_074_get_involved	level_2	get involved	Get involved in the community cleanup this weekend.	"<span class=""target-phrase"">Get involved</span> in the community cleanup this weekend."	To participate or become part of an activity.	- He likes to get involved in every team discussion.<br>- Get involved now before the chance closes.<br>- They asked her to get involved with onboarding.	english_phrases natural_phrases level_2 natural phrase get_involved
en_phrase_075_get_ready	level_2	get ready	Get ready with your notes before we join the call.	"<span class=""target-phrase"">Get ready</span> with your notes before we join the call."	To prepare yourself for something.	- Get ready by 8:30 and bring your ID.<br>- Get ready for the announcement and then check everyone in.<br>- Please get ready and send a quick update.	english_phrases natural_phrases level_2 natural phrase get_ready
en_phrase_076_take_off	level_2	take off	The plane will take off at 9:10 after boarding.	"The plane will <span class=""target-phrase"">take off</span> at 9:10 after boarding."	To remove, or for a plane/ship to leave the ground/water.	- She took off her coat in the warm office.<br>- The new app will take off once we launch.<br>- It takes off smoothly when the system updates.	english_phrases natural_phrases level_2 natural phrase take_off
en_phrase_077_take_out	level_2	take out	Take out the old batteries and replace them this afternoon.	"<span class=""target-phrase"">Take out</span> the old batteries and replace them this afternoon."	To remove something from a place.	- Take out one chair for the guest.<br>- Take out the cat food from the cupboard.<br>- Take out the document and sign it.	english_phrases natural_phrases level_2 natural phrase take_out
en_phrase_078_take_in	level_2	take in	It took me a minute to take in the news.	"It took me a minute to <span class=""target-phrase"">take in</span> the news."	To understand, absorb, or process information or an experience.	- Take in this new process slowly before you teach it.<br>- I need time to take in the feedback properly.<br>- The view was so beautiful that we stopped to take it in.	english_phrases natural_phrases level_2 natural phrase take_in
en_phrase_079_take_over	level_2	take over	I will take over the call while you gather the numbers.	"I will <span class=""target-phrase"">take over</span> the call while you gather the numbers."	To assume control of a role, task, or device.	- She took over the lead role for the last sprint.<br>- Take over support when the queue spikes.<br>- They asked me to take over the meeting notes.	english_phrases natural_phrases level_2 natural phrase take_over
en_phrase_080_take_care_of	level_2	take care of	Take care of the presentation and I'll handle logistics.	"<span class=""target-phrase"">Take care of</span> the presentation and I&#x27;ll handle logistics."	To look after or handle responsibilities.	- Can you take care of the printer repair?<br>- She took care of the last-minute conflict quickly.<br>- Take care of your assignment before the weekend.	english_phrases natural_phrases level_2 natural phrase take_care_of
en_phrase_081_take_part_in	level_2	take part in	Take part in the volunteer event on Saturday.	"<span class=""target-phrase"">Take part in</span> the volunteer event on Saturday."	To participate in an event or activity.	- Everyone will take part in the training session.<br>- Take part in this exercise at your own pace.<br>- He finally took part in the discussion.	english_phrases natural_phrases level_2 natural phrase take_part_in
en_phrase_082_take_advantage_of	level_2	take advantage of	Take advantage of the free parking during the event.	"<span class=""target-phrase"">Take advantage of</span> the free parking during the event."	To make good use of an opportunity.	- Take advantage of the offer before Friday.<br>- Take advantage of your mentor meeting while they are free.<br>- We should take advantage of slower traffic to travel now.	english_phrases natural_phrases level_2 natural phrase take_advantage_of
